Prov,Provinsi,Tanggal,Max. Tanggal,Running Sum of divaksin2 (ribu),divaksin2 (ribu)
Sulawesi Selatan,Sulawesi Selatan,2/20/2021,2/20/2021,24.13,2.785
Sulawesi Tengah,Sulawesi Tengah,2/20/2021,2/20/2021,7.321,1.032
Sulawesi Tenggara,Sulawesi Tenggara,2/20/2021,2/20/2021,6.357,0.295
Sulawesi Utara,Sulawesi Utara,2/20/2021,2/20/2021,10.556,0.461
Sumatera Barat,Sumatera Barat,2/20/2021,2/20/2021,12.409,0.87
Sumatera Selatan,Sumatera Selatan,2/20/2021,2/20/2021,23.373,0.984
Sumatera Utara,Sumatera Utara,2/20/2021,2/20/2021,22.133,2.635
Yogyakarta,Yogyakarta,2/20/2021,2/20/2021,27.999,1.039
Aceh,Aceh,2/21/2021,2/21/2021,0.967,0.09
Bali,Bali,2/21/2021,2/21/2021,28.505,0.115
Banten,Banten,2/21/2021,2/21/2021,29.616,0.017
Bengkulu,Bengkulu,2/21/2021,2/21/2021,6.937,0.004
Jakarta Raya,Jakarta Raya,2/21/2021,2/21/2021,76.321,1.217
Jambi,Jambi,2/21/2021,2/21/2021,10.324,0.002
Jawa Barat,Jawa Barat,2/21/2021,2/21/2021,105.707,0.066
Jawa Tengah,Jawa Tengah,2/21/2021,2/21/2021,130.066,0.1
Jawa Timur,Jawa Timur,2/21/2021,2/21/2021,147.957,0.167
Kalimantan Barat,Kalimantan Barat,2/21/2021,2/21/2021,13.619,0.144
Kalimantan Selatan,Kalimantan Selatan,2/21/2021,2/21/2021,10.247,0.029
Kalimantan Tengah,Kalimantan Tengah,2/21/2021,2/21/2021,11.801,0.003
Kalimantan Timur,Kalimantan Timur,2/21/2021,2/21/2021,20.117,0.057
Kalimantan Utara,Kalimantan Utara,2/21/2021,2/21/2021,3.432,0
Lampung,Lampung,2/21/2021,2/21/2021,20.83,0.012
Maluku,Maluku,2/21/2021,2/21/2021,4.766,0.098
Maluku Utara,Maluku Utara,2/21/2021,2/21/2021,1.285,0.052
Nusa Tenggara Barat,Nusa Tenggara Barat,2/21/2021,2/21/2021,10.864,0
Nusa Tenggara Timur,Nusa Tenggara Timur,2/21/2021,2/21/2021,12.467,0.921
Papua,Papua,2/21/2021,2/21/2021,3.319,0.043
Riau,Kepulauan Riau,2/21/2021,2/21/2021,10.331,0.025
Riau,Riau,2/21/2021,2/21/2021,17.646,0.34
Sulawesi Barat,Sulawesi Barat,2/21/2021,2/21/2021,2.433,0.134
Sulawesi Selatan,Sulawesi Selatan,2/21/2021,2/21/2021,24.286,0.156
Sulawesi Tengah,Sulawesi Tengah,2/21/2021,2/21/2021,7.473,0.152
Sulawesi Tenggara,Sulawesi Tenggara,2/21/2021,2/21/2021,6.369,0.012
Sumatera Barat,Sumatera Barat,2/21/2021,2/21/2021,12.429,0.02
Sumatera Selatan,Sumatera Selatan,2/21/2021,2/21/2021,23.39,0.017
Sumatera Utara,Sumatera Utara,2/21/2021,2/21/2021,22.376,0.243
Yogyakarta,Yogyakarta,2/21/2021,2/21/2021,28.001,0.002
Aceh,Aceh,2/22/2021,2/22/2021,1.455,0.488
Bali,Bali,2/22/2021,2/22/2021,29.032,0.527
Bangka Belitung,Bangka Belitung,2/22/2021,2/22/2021,7.936,0.176
Banten,Banten,2/22/2021,2/22/2021,30.413,0.797
Bengkulu,Bengkulu,2/22/2021,2/22/2021,7.462,0.525
Gorontalo,Gorontalo,2/22/2021,2/22/2021,4.054,0.507
Jakarta Raya,Jakarta Raya,2/22/2021,2/22/2021,80.933,4.612
Jambi,Jambi,2/22/2021,2/22/2021,11.376,1.052
Jawa Barat,Jawa Barat,2/22/2021,2/22/2021,110.734,5.027
Jawa Tengah,Jawa Tengah,2/22/2021,2/22/2021,131.135,1.069
Jawa Timur,Jawa Timur,2/22/2021,2/22/2021,152.088,4.131
Kalimantan Barat,Kalimantan Barat,2/22/2021,2/22/2021,15.361,1.742
Kalimantan Selatan,Kalimantan Selatan,2/22/2021,2/22/2021,11.86,1.613
Kalimantan Tengah,Kalimantan Tengah,2/22/2021,2/22/2021,12.826,1.025
Kalimantan Timur,Kalimantan Timur,2/22/2021,2/22/2021,20.58,0.463
Kalimantan Utara,Kalimantan Utara,2/22/2021,2/22/2021,3.604,0.172
Lampung,Lampung,2/22/2021,2/22/2021,22.117,1.287
Maluku,Maluku,2/22/2021,2/22/2021,5.327,0.561
Maluku Utara,Maluku Utara,2/22/2021,2/22/2021,1.522,0.237
Nusa Tenggara Barat,Nusa Tenggara Barat,2/22/2021,2/22/2021,11.968,1.104
Nusa Tenggara Timur,Nusa Tenggara Timur,2/22/2021,2/22/2021,15.862,3.395
Papua,Papua,2/22/2021,2/22/2021,3.83,0.511
Papua Barat,Papua Barat,2/22/2021,2/22/2021,3.412,0.614
Riau,Kepulauan Riau,2/22/2021,2/22/2021,10.728,0.397
Riau,Riau,2/22/2021,2/22/2021,18.903,1.257
Sulawesi Barat,Sulawesi Barat,2/22/2021,2/22/2021,2.98,0.547
Sulawesi Selatan,Sulawesi Selatan,2/22/2021,2/22/2021,26.619,2.333
Sulawesi Tengah,Sulawesi Tengah,2/22/2021,2/22/2021,8.84,1.367
Sulawesi Tenggara,Sulawesi Tenggara,2/22/2021,2/22/2021,7.448,1.079
Sulawesi Utara,Sulawesi Utara,2/22/2021,2/22/2021,11.634,1.078
Sumatera Barat,Sumatera Barat,2/22/2021,2/22/2021,13.701,1.272
Sumatera Selatan,Sumatera Selatan,2/22/2021,2/22/2021,25.413,2.023
Sumatera Utara,Sumatera Utara,2/22/2021,2/22/2021,25.995,3.619
Yogyakarta,Yogyakarta,2/22/2021,2/22/2021,28.809,0.808
Aceh,Aceh,2/23/2021,2/23/2021,1.99,0.535
Bali,Bali,2/23/2021,2/23/2021,29.973,0.941
Bangka Belitung,Bangka Belitung,2/23/2021,2/23/2021,8.171,0.235
Banten,Banten,2/23/2021,2/23/2021,31.379,0.966
Bengkulu,Bengkulu,2/23/2021,2/23/2021,7.745,0.283
Gorontalo,Gorontalo,2/23/2021,2/23/2021,4.323,0.269
Jakarta Raya,Jakarta Raya,2/23/2021,2/23/2021,83.97,3.037
Jambi,Jambi,2/23/2021,2/23/2021,12.406,1.03
Jawa Barat,Jawa Barat,2/23/2021,2/23/2021,116.074,5.34
Jawa Tengah,Jawa Tengah,2/23/2021,2/23/2021,132.994,1.859
Jawa Timur,Jawa Timur,2/23/2021,2/23/2021,154.815,2.727
Kalimantan Barat,Kalimantan Barat,2/23/2021,2/23/2021,16.676,1.315
Kalimantan Selatan,Kalimantan Selatan,2/23/2021,2/23/2021,12.724,0.864
Kalimantan Tengah,Kalimantan Tengah,2/23/2021,2/23/2021,13.469,0.643
Kalimantan Timur,Kalimantan Timur,2/23/2021,2/23/2021,21.046,0.466
Kalimantan Utara,Kalimantan Utara,2/23/2021,2/23/2021,3.925,0.321
Lampung,Lampung,2/23/2021,2/23/2021,23.067,0.95
Maluku,Maluku,2/23/2021,2/23/2021,5.612,0.285
Maluku Utara,Maluku Utara,2/23/2021,2/23/2021,1.992,0.47
Nusa Tenggara Barat,Nusa Tenggara Barat,2/23/2021,2/23/2021,13.244,1.276
Nusa Tenggara Timur,Nusa Tenggara Timur,2/23/2021,2/23/2021,18.483,2.621
Papua,Papua,2/23/2021,2/23/2021,4.345,0.515
Papua Barat,Papua Barat,2/23/2021,2/23/2021,3.812,0.4
Riau,Kepulauan Riau,2/23/2021,2/23/2021,10.947,0.219
Riau,Riau,2/23/2021,2/23/2021,19.963,1.06
Sulawesi Barat,Sulawesi Barat,2/23/2021,2/23/2021,3.179,0.199
Sulawesi Selatan,Sulawesi Selatan,2/23/2021,2/23/2021,28.508,1.889
Sulawesi Tengah,Sulawesi Tengah,2/23/2021,2/23/2021,10.613,1.773
Sulawesi Tenggara,Sulawesi Tenggara,2/23/2021,2/23/2021,8.309,0.861
Sulawesi Utara,Sulawesi Utara,2/23/2021,2/23/2021,12.84,1.206
Sumatera Barat,Sumatera Barat,2/23/2021,2/23/2021,14.664,0.963
Sumatera Selatan,Sumatera Selatan,2/23/2021,2/23/2021,27.043,1.63
Sumatera Utara,Sumatera Utara,2/23/2021,2/23/2021,29.952,3.957
Yogyakarta,Yogyakarta,2/23/2021,2/23/2021,29.245,0.436
Aceh,Aceh,2/24/2021,2/24/2021,4.11,2.12
Bali,Bali,2/24/2021,2/24/2021,31.045,1.072
Bangka Belitung,Bangka Belitung,2/24/2021,2/24/2021,8.32,0.149
Banten,Banten,2/24/2021,2/24/2021,33.317,1.938
Bengkulu,Bengkulu,2/24/2021,2/24/2021,8.062,0.317
Gorontalo,Gorontalo,2/24/2021,2/24/2021,4.534,0.211
Jakarta Raya,Jakarta Raya,2/24/2021,2/24/2021,86.655,2.685
Jambi,Jambi,2/24/2021,2/24/2021,13.353,0.947
Jawa Barat,Jawa Barat,2/24/2021,2/24/2021,121.062,4.988
Jawa Tengah,Jawa Tengah,2/24/2021,2/24/2021,134.616,1.622
Jawa Timur,Jawa Timur,2/24/2021,2/24/2021,158.422,3.607
Kalimantan Barat,Kalimantan Barat,2/24/2021,2/24/2021,18.089,1.413
Kalimantan Selatan,Kalimantan Selatan,2/24/2021,2/24/2021,13.756,1.032
Kalimantan Tengah,Kalimantan Tengah,2/24/2021,2/24/2021,13.833,0.364
Kalimantan Timur,Kalimantan Timur,2/24/2021,2/24/2021,21.741,0.695
Kalimantan Utara,Kalimantan Utara,2/24/2021,2/24/2021,4.168,0.243
Lampung,Lampung,2/24/2021,2/24/2021,23.903,0.836
Maluku,Maluku,2/24/2021,2/24/2021,5.954,0.342
Maluku Utara,Maluku Utara,2/24/2021,2/24/2021,2.618,0.626
Nusa Tenggara Barat,Nusa Tenggara Barat,2/24/2021,2/24/2021,14.334,1.09
Nusa Tenggara Timur,Nusa Tenggara Timur,2/24/2021,2/24/2021,20.845,2.362
Papua,Papua,2/24/2021,2/24/2021,4.884,0.539
Papua Barat,Papua Barat,2/24/2021,2/24/2021,4.456,0.644
Riau,Kepulauan Riau,2/24/2021,2/24/2021,11.089,0.142
Riau,Riau,2/24/2021,2/24/2021,21.127,1.164
Sulawesi Barat,Sulawesi Barat,2/24/2021,2/24/2021,3.749,0.57
Sulawesi Selatan,Sulawesi Selatan,2/24/2021,2/24/2021,30.221,1.713
Sulawesi Tengah,Sulawesi Tengah,2/24/2021,2/24/2021,12.565,1.952
Sulawesi Tenggara,Sulawesi Tenggara,2/24/2021,2/24/2021,9.055,0.746
Sulawesi Utara,Sulawesi Utara,2/24/2021,2/24/2021,14.085,1.245
Sumatera Barat,Sumatera Barat,2/24/2021,2/24/2021,15.49,0.826
Sumatera Selatan,Sumatera Selatan,2/24/2021,2/24/2021,28.358,1.315
Sumatera Utara,Sumatera Utara,2/24/2021,2/24/2021,34.028,4.076
Yogyakarta,Yogyakarta,2/24/2021,2/24/2021,29.63,0.385
Aceh,Aceh,2/25/2021,2/25/2021,9.103,4.993
Bali,Bali,2/25/2021,2/25/2021,31.916,0.871
Bangka Belitung,Bangka Belitung,2/25/2021,2/25/2021,8.442,0.122
Banten,Banten,2/25/2021,2/25/2021,33.855,0.538
Bengkulu,Bengkulu,2/25/2021,2/25/2021,8.555,0.493
Gorontalo,Gorontalo,2/25/2021,2/25/2021,4.667,0.133
Jakarta Raya,Jakarta Raya,2/25/2021,2/25/2021,89.3,2.645
Jambi,Jambi,2/25/2021,2/25/2021,14.099,0.746
Jawa Barat,Jawa Barat,2/25/2021,2/25/2021,126.66,5.598
Jawa Tengah,Jawa Tengah,2/25/2021,2/25/2021,136.508,1.892
Jawa Timur,Jawa Timur,2/25/2021,2/25/2021,162.491,4.069
Kalimantan Barat,Kalimantan Barat,2/25/2021,2/25/2021,18.982,0.893
Kalimantan Selatan,Kalimantan Selatan,2/25/2021,2/25/2021,14.8,1.044
Kalimantan Tengah,Kalimantan Tengah,2/25/2021,2/25/2021,14.263,0.43
Kalimantan Timur,Kalimantan Timur,2/25/2021,2/25/2021,22.218,0.477
Kalimantan Utara,Kalimantan Utara,2/25/2021,2/25/2021,4.347,0.179
Lampung,Lampung,2/25/2021,2/25/2021,24.808,0.905
Maluku,Maluku,2/25/2021,2/25/2021,6.208,0.254
Maluku Utara,Maluku Utara,2/25/2021,2/25/2021,3.135,0.517
Nusa Tenggara Barat,Nusa Tenggara Barat,2/25/2021,2/25/2021,15.318,0.984
Nusa Tenggara Timur,Nusa Tenggara Timur,2/25/2021,2/25/2021,22.372,1.527
Papua,Papua,2/25/2021,2/25/2021,5.657,0.773
Papua Barat,Papua Barat,2/25/2021,2/25/2021,4.754,0.298
Riau,Kepulauan Riau,2/25/2021,2/25/2021,11.341,0.252
Riau,Riau,2/25/2021,2/25/2021,21.897,0.77
Sulawesi Barat,Sulawesi Barat,2/25/2021,2/25/2021,4.501,0.752
Sulawesi Selatan,Sulawesi Selatan,2/25/2021,2/25/2021,31.951,1.73
Sulawesi Tengah,Sulawesi Tengah,2/25/2021,2/25/2021,13.818,1.253
Sulawesi Tenggara,Sulawesi Tenggara,2/25/2021,2/25/2021,10.038,0.983
Sulawesi Utara,Sulawesi Utara,2/25/2021,2/25/2021,14.72,0.635
Sumatera Barat,Sumatera Barat,2/25/2021,2/25/2021,16.207,0.717
Sumatera Selatan,Sumatera Selatan,2/25/2021,2/25/2021,29.298,0.94
Sumatera Utara,Sumatera Utara,2/25/2021,2/25/2021,38.289,4.261
Yogyakarta,Yogyakarta,2/25/2021,2/25/2021,30.206,0.576
Aceh,Aceh,2/26/2021,2/26/2021,14.031,4.928
Bali,Bali,2/26/2021,2/26/2021,32.4,0.484
Bangka Belitung,Bangka Belitung,2/26/2021,2/26/2021,8.465,0.023
Banten,Banten,2/26/2021,2/26/2021,34.033,0.178
Bengkulu,Bengkulu,2/26/2021,2/26/2021,8.589,0.034
Gorontalo,Gorontalo,2/26/2021,2/26/2021,4.718,0.051
Jakarta Raya,Jakarta Raya,2/26/2021,2/26/2021,90.072,0.772
Jambi,Jambi,2/26/2021,2/26/2021,14.177,0.078
Jawa Barat,Jawa Barat,2/26/2021,2/26/2021,127.702,1.042
Jawa Tengah,Jawa Tengah,2/26/2021,2/26/2021,137.097,0.589
Jawa Timur,Jawa Timur,2/26/2021,2/26/2021,163.423,0.932
Kalimantan Barat,Kalimantan Barat,2/26/2021,2/26/2021,19.132,0.15
Kalimantan Selatan,Kalimantan Selatan,2/26/2021,2/26/2021,14.927,0.127
Kalimantan Tengah,Kalimantan Tengah,2/26/2021,2/26/2021,14.295,0.032
Kalimantan Timur,Kalimantan Timur,2/26/2021,2/26/2021,22.376,0.158
Kalimantan Utara,Kalimantan Utara,2/26/2021,2/26/2021,4.377,0.03
Lampung,Lampung,2/26/2021,2/26/2021,24.949,0.141
Maluku,Maluku,2/26/2021,2/26/2021,6.359,0.151
Maluku Utara,Maluku Utara,2/26/2021,2/26/2021,3.308,0.173
Nusa Tenggara Barat,Nusa Tenggara Barat,2/26/2021,2/26/2021,15.538,0.22
Nusa Tenggara Timur,Nusa Tenggara Timur,2/26/2021,2/26/2021,22.612,0.24
Papua,Papua,2/26/2021,2/26/2021,5.839,0.182
Papua Barat,Papua Barat,2/26/2021,2/26/2021,4.859,0.105
Riau,Kepulauan Riau,2/26/2021,2/26/2021,11.369,0.028
Riau,Riau,2/26/2021,2/26/2021,22.096,0.199
Sulawesi Barat,Sulawesi Barat,2/26/2021,2/26/2021,4.771,0.27
Sulawesi Selatan,Sulawesi Selatan,2/26/2021,2/26/2021,32.227,0.276
Sulawesi Tengah,Sulawesi Tengah,2/26/2021,2/26/2021,14.012,0.194
Sulawesi Tenggara,Sulawesi Tenggara,2/26/2021,2/26/2021,10.321,0.283
Sulawesi Utara,Sulawesi Utara,2/26/2021,2/26/2021,14.833,0.113
Sumatera Barat,Sumatera Barat,2/26/2021,2/26/2021,16.399,0.192
Sumatera Selatan,Sumatera Selatan,2/26/2021,2/26/2021,29.495,0.197
Sumatera Utara,Sumatera Utara,2/26/2021,2/26/2021,38.996,0.707
Yogyakarta,Yogyakarta,2/26/2021,2/26/2021,30.228,0.022
Aceh,Aceh,2/27/2021,2/27/2021,16.533,2.502
Bali,Bali,2/27/2021,2/27/2021,32.691,0.291
Bangka Belitung,Bangka Belitung,2/27/2021,2/27/2021,8.566,0.101
Banten,Banten,2/27/2021,2/27/2021,34.242,0.209
Bengkulu,Bengkulu,2/27/2021,2/27/2021,8.624,0.035
Gorontalo,Gorontalo,2/27/2021,2/27/2021,4.732,0.014
Jakarta Raya,Jakarta Raya,2/27/2021,2/27/2021,90.226,0.154
Jambi,Jambi,2/27/2021,2/27/2021,14.477,0.3
Jawa Barat,Jawa Barat,2/27/2021,2/27/2021,130.458,2.756
Jawa Tengah,Jawa Tengah,2/27/2021,2/27/2021,137.725,0.628
Jawa Timur,Jawa Timur,2/27/2021,2/27/2021,164.912,1.489
Kalimantan Barat,Kalimantan Barat,2/27/2021,2/27/2021,19.281,0.149
Kalimantan Selatan,Kalimantan Selatan,2/27/2021,2/27/2021,15.359,0.432
Kalimantan Tengah,Kalimantan Tengah,2/27/2021,2/27/2021,14.503,0.208
Kalimantan Timur,Kalimantan Timur,2/27/2021,2/27/2021,22.827,0.451
Kalimantan Utara,Kalimantan Utara,2/27/2021,2/27/2021,4.533,0.156
Lampung,Lampung,2/27/2021,2/27/2021,25.097,0.148
Maluku,Maluku,2/27/2021,2/27/2021,6.479,0.12
Maluku Utara,Maluku Utara,2/27/2021,2/27/2021,3.518,0.21
Nusa Tenggara Barat,Nusa Tenggara Barat,2/27/2021,2/27/2021,16.156,0.618
Nusa Tenggara Timur,Nusa Tenggara Timur,2/27/2021,2/27/2021,23.341,0.729
Papua,Papua,2/27/2021,2/27/2021,6.127,0.288
Papua Barat,Papua Barat,2/27/2021,2/27/2021,5.153,0.294
Riau,Kepulauan Riau,2/27/2021,2/27/2021,11.658,0.289
Riau,Riau,2/27/2021,2/27/2021,22.582,0.486
Sulawesi Barat,Sulawesi Barat,2/27/2021,2/27/2021,4.889,0.118
Sulawesi Selatan,Sulawesi Selatan,2/27/2021,2/27/2021,33.1,0.873
Sulawesi Tengah,Sulawesi Tengah,2/27/2021,2/27/2021,14.748,0.736
Sulawesi Tenggara,Sulawesi Tenggara,2/27/2021,2/27/2021,10.718,0.397
Sulawesi Utara,Sulawesi Utara,2/27/2021,2/27/2021,14.996,0.163
Sumatera Barat,Sumatera Barat,2/27/2021,2/27/2021,16.726,0.327
Sumatera Selatan,Sumatera Selatan,2/27/2021,2/27/2021,29.653,0.158
Sumatera Utara,Sumatera Utara,2/27/2021,2/27/2021,40.035,1.039
Yogyakarta,Yogyakarta,2/27/2021,2/27/2021,30.603,0.375
Aceh,Aceh,2/28/2021,2/28/2021,17.126,0.593
Bali,Bali,2/28/2021,2/28/2021,32.747,0.056
Bangka Belitung,Bangka Belitung,2/28/2021,2/28/2021,8.566,0
Banten,Banten,2/28/2021,2/28/2021,34.255,0.013
Bengkulu,Bengkulu,2/28/2021,2/28/2021,8.625,0.001
Gorontalo,Gorontalo,2/28/2021,2/28/2021,4.732,0
Jakarta Raya,Jakarta Raya,2/28/2021,2/28/2021,90.272,0.046
Jambi,Jambi,2/28/2021,2/28/2021,14.478,0.001
Jawa Barat,Jawa Barat,2/28/2021,2/28/2021,130.532,0.074
Jawa Tengah,Jawa Tengah,2/28/2021,2/28/2021,137.737,0.012
Jawa Timur,Jawa Timur,2/28/2021,2/28/2021,165.013,0.101
Kalimantan Barat,Kalimantan Barat,2/28/2021,2/28/2021,19.304,0.023
Kalimantan Selatan,Kalimantan Selatan,2/28/2021,2/28/2021,15.363,0.004
Kalimantan Tengah,Kalimantan Tengah,2/28/2021,2/28/2021,14.51,0.007
Kalimantan Timur,Kalimantan Timur,2/28/2021,2/28/2021,22.872,0.045
Kalimantan Utara,Kalimantan Utara,2/28/2021,2/28/2021,4.534,0.001
Lampung,Lampung,2/28/2021,2/28/2021,25.098,0.001
Maluku,Maluku,2/28/2021,2/28/2021,6.481,0.002
Maluku Utara,Maluku Utara,2/28/2021,2/28/2021,3.531,0.013
Nusa Tenggara Barat,Nusa Tenggara Barat,2/28/2021,2/28/2021,16.156,0
Nusa Tenggara Timur,Nusa Tenggara Timur,2/28/2021,2/28/2021,23.351,0.01
Papua,Papua,2/28/2021,2/28/2021,6.156,0.029
Papua Barat,Papua Barat,2/28/2021,2/28/2021,5.206,0.053
Riau,Kepulauan Riau,2/28/2021,2/28/2021,11.666,0.008
Riau,Riau,2/28/2021,2/28/2021,22.588,0.006
Sulawesi Barat,Sulawesi Barat,2/28/2021,2/28/2021,4.889,0
Sulawesi Selatan,Sulawesi Selatan,2/28/2021,2/28/2021,33.124,0.024
Sulawesi Tengah,Sulawesi Tengah,2/28/2021,2/28/2021,14.751,0.003
Sulawesi Tenggara,Sulawesi Tenggara,2/28/2021,2/28/2021,10.719,0.001
Sulawesi Utara,Sulawesi Utara,2/28/2021,2/28/2021,14.997,0.001
Sumatera Barat,Sumatera Barat,2/28/2021,2/28/2021,16.747,0.021
Sumatera Selatan,Sumatera Selatan,2/28/2021,2/28/2021,29.663,0.01
Sumatera Utara,Sumatera Utara,2/28/2021,2/28/2021,40.31,0.275
Yogyakarta,Yogyakarta,2/28/2021,2/28/2021,30.603,0
Aceh,Aceh,3/1/2021,3/1/2021,24.315,7.189
Bali,Bali,3/1/2021,3/1/2021,33.256,0.509
Bangka Belitung,Bangka Belitung,3/1/2021,3/1/2021,8.729,0.163
Banten,Banten,3/1/2021,3/1/2021,34.557,0.302
Bengkulu,Bengkulu,3/1/2021,3/1/2021,8.909,0.284
Gorontalo,Gorontalo,3/1/2021,3/1/2021,4.877,0.145
Jakarta Raya,Jakarta Raya,3/1/2021,3/1/2021,91.279,1.007
Jambi,Jambi,3/1/2021,3/1/2021,15.03,0.552
Jawa Barat,Jawa Barat,3/1/2021,3/1/2021,133.708,3.176
Jawa Tengah,Jawa Tengah,3/1/2021,3/1/2021,138.396,0.659
Jawa Timur,Jawa Timur,3/1/2021,3/1/2021,166.949,1.936
Kalimantan Barat,Kalimantan Barat,3/1/2021,3/1/2021,19.922,0.618
Kalimantan Selatan,Kalimantan Selatan,3/1/2021,3/1/2021,16.033,0.67
Kalimantan Tengah,Kalimantan Tengah,3/1/2021,3/1/2021,15.058,0.548
Kalimantan Timur,Kalimantan Timur,3/1/2021,3/1/2021,23.276,0.404
Kalimantan Utara,Kalimantan Utara,3/1/2021,3/1/2021,4.668,0.134
Lampung,Lampung,3/1/2021,3/1/2021,25.608,0.51
Maluku,Maluku,3/1/2021,3/1/2021,6.772,0.291
Maluku Utara,Maluku Utara,3/1/2021,3/1/2021,3.973,0.442
Nusa Tenggara Barat,Nusa Tenggara Barat,3/1/2021,3/1/2021,17.183,1.027
Nusa Tenggara Timur,Nusa Tenggara Timur,3/1/2021,3/1/2021,24.163,0.812
Papua,Papua,3/1/2021,3/1/2021,6.422,0.266
Papua Barat,Papua Barat,3/1/2021,3/1/2021,5.442,0.236
Riau,Kepulauan Riau,3/1/2021,3/1/2021,11.873,0.207
Riau,Riau,3/1/2021,3/1/2021,23.386,0.798
Sulawesi Barat,Sulawesi Barat,3/1/2021,3/1/2021,5.096,0.207
Sulawesi Selatan,Sulawesi Selatan,3/1/2021,3/1/2021,34.445,1.321
Sulawesi Tengah,Sulawesi Tengah,3/1/2021,3/1/2021,15.284,0.533
Sulawesi Tenggara,Sulawesi Tenggara,3/1/2021,3/1/2021,11.83,1.111
Sulawesi Utara,Sulawesi Utara,3/1/2021,3/1/2021,15.319,0.322
Sumatera Barat,Sumatera Barat,3/1/2021,3/1/2021,17.591,0.844
Sumatera Selatan,Sumatera Selatan,3/1/2021,3/1/2021,30.689,1.026
Sumatera Utara,Sumatera Utara,3/1/2021,3/1/2021,43.643,3.333
Yogyakarta,Yogyakarta,3/1/2021,3/1/2021,30.705,0.102
Aceh,Aceh,3/2/2021,3/2/2021,27.978,3.663
Bali,Bali,3/2/2021,3/2/2021,33.563,0.307
Bangka Belitung,Bangka Belitung,3/2/2021,3/2/2021,8.861,0.132
Banten,Banten,3/2/2021,3/2/2021,34.862,0.305
Bengkulu,Bengkulu,3/2/2021,3/2/2021,9.049,0.14
Gorontalo,Gorontalo,3/2/2021,3/2/2021,5.032,0.155
Jakarta Raya,Jakarta Raya,3/2/2021,3/2/2021,92.166,0.887
Jambi,Jambi,3/2/2021,3/2/2021,15.353,0.323
Jawa Barat,Jawa Barat,3/2/2021,3/2/2021,136.546,2.838
Jawa Tengah,Jawa Tengah,3/2/2021,3/2/2021,139.248,0.852
Jawa Timur,Jawa Timur,3/2/2021,3/2/2021,168.175,1.226
Kalimantan Barat,Kalimantan Barat,3/2/2021,3/2/2021,20.267,0.345
Kalimantan Selatan,Kalimantan Selatan,3/2/2021,3/2/2021,16.815,0.782
Kalimantan Tengah,Kalimantan Tengah,3/2/2021,3/2/2021,15.432,0.374
Kalimantan Timur,Kalimantan Timur,3/2/2021,3/2/2021,23.496,0.22
Kalimantan Utara,Kalimantan Utara,3/2/2021,3/2/2021,4.79,0.122
Lampung,Lampung,3/2/2021,3/2/2021,26.352,0.744
Maluku,Maluku,3/2/2021,3/2/2021,7.111,0.339
Maluku Utara,Maluku Utara,3/2/2021,3/2/2021,4.501,0.528
Nusa Tenggara Barat,Nusa Tenggara Barat,3/2/2021,3/2/2021,18.188,1.005
Nusa Tenggara Timur,Nusa Tenggara Timur,3/2/2021,3/2/2021,24.848,0.685
Papua,Papua,3/2/2021,3/2/2021,7.095,0.673
Papua Barat,Papua Barat,3/2/2021,3/2/2021,5.57,0.128
Riau,Kepulauan Riau,3/2/2021,3/2/2021,12.254,0.381
Riau,Riau,3/2/2021,3/2/2021,24.12,0.734
Sulawesi Barat,Sulawesi Barat,3/2/2021,3/2/2021,5.174,0.078
Sulawesi Selatan,Sulawesi Selatan,3/2/2021,3/2/2021,35.821,1.376
Sulawesi Tengah,Sulawesi Tengah,3/2/2021,3/2/2021,15.789,0.505
Sulawesi Tenggara,Sulawesi Tenggara,3/2/2021,3/2/2021,12.561,0.731
Sulawesi Utara,Sulawesi Utara,3/2/2021,3/2/2021,15.642,0.323
Sumatera Barat,Sumatera Barat,3/2/2021,3/2/2021,18.604,1.013
Sumatera Selatan,Sumatera Selatan,3/2/2021,3/2/2021,31.548,0.859
Sumatera Utara,Sumatera Utara,3/2/2021,3/2/2021,46.952,3.309
Yogyakarta,Yogyakarta,3/2/2021,3/2/2021,30.871,0.166
Aceh,Aceh,3/3/2021,3/3/2021,30.739,2.761
Bali,Bali,3/3/2021,3/3/2021,33.926,0.363
Bangka Belitung,Bangka Belitung,3/3/2021,3/3/2021,8.972,0.111
Banten,Banten,3/3/2021,3/3/2021,35.031,0.169
Bengkulu,Bengkulu,3/3/2021,3/3/2021,9.332,0.283
Gorontalo,Gorontalo,3/3/2021,3/3/2021,5.169,0.137
Jakarta Raya,Jakarta Raya,3/3/2021,3/3/2021,93.722,1.556
Jambi,Jambi,3/3/2021,3/3/2021,15.823,0.47
Jawa Barat,Jawa Barat,3/3/2021,3/3/2021,138.931,2.385
Jawa Tengah,Jawa Tengah,3/3/2021,3/3/2021,140.179,0.931
Jawa Timur,Jawa Timur,3/3/2021,3/3/2021,169.528,1.353
Kalimantan Barat,Kalimantan Barat,3/3/2021,3/3/2021,20.961,0.694
Kalimantan Selatan,Kalimantan Selatan,3/3/2021,3/3/2021,17.724,0.909
Kalimantan Tengah,Kalimantan Tengah,3/3/2021,3/3/2021,15.828,0.396
Kalimantan Timur,Kalimantan Timur,3/3/2021,3/3/2021,23.739,0.243
Kalimantan Utara,Kalimantan Utara,3/3/2021,3/3/2021,5.036,0.246
Lampung,Lampung,3/3/2021,3/3/2021,27.099,0.747
