Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab. Bengkulu Tengah,Bengkulu,1.28%,"19,852"
Kab. Bengkulu Utara,Bengkulu,1.48%,"22,976"
Kab. Berau,Kalimantan Timur,1.14%,"32,893"
Kab. Biak Numfor,Papua,1.01%,"26,104"
Kab. Bima,Nusa Tenggara Barat,0.72%,"27,966"
Kab. Bintan,Kepulauan Riau,5.20%,"82,179"
Kab. Bireuen,Aceh,1.13%,"45,555"
Kab. Blitar,Jawa Timur,0.93%,"296,015"
Kab. Blora,Jawa Tengah,0.38%,"109,870"
Kab. Boalemo,Gorontalo,3.57%,"28,958"
Kab. Bogor,Jawa Barat,1.37%,"519,226"
Kab. Bojonegoro,Jawa Timur,0.52%,"166,628"
Kab. Bolaang Mongondow,Sulawesi Utara,1.14%,"23,795"
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,0.40%,"8,349"
Kab. Bolaang Mongondow Timur,Sulawesi Utara,0.57%,"11,815"
Kab. Bolaang Mongondow Utara,Sulawesi Utara,0.92%,"19,111"
Kab. Bombana,Sulawesi Tenggara,1.26%,"25,200"
Kab. Bondowoso,Jawa Timur,0.25%,"79,746"
Kab. Bone,Sulawesi Selatan,1.23%,"86,782"
Kab. Bone Bolango,Gorontalo,3.15%,"29,530"
Kab. Boven Digoel,Papua,0.27%,"6,902"
Kab. Boyolali,Jawa Tengah,0.45%,"129,627"
Kab. Brebes,Jawa Tengah,0.57%,"163,296"
Kab. Buleleng,Bali,13.73%,"467,583"
Kab. Bulukumba,Sulawesi Selatan,0.69%,"48,904"
Kab. Bulungan,Kalimantan Utara,5.11%,"27,879"
Kab. Bungo,Jambi,1.56%,"41,814"
Kab. Buol,Sulawesi Tengah,1.05%,"22,414"
Kab. Buru,Maluku,0.52%,"7,364"
Kab. Buru Selatan,Maluku,0.34%,"4,069"
Kab. Buton,Sulawesi Tenggara,0.64%,"10,897"
Kab. Buton Selatan,Sulawesi Tenggara,0.41%,"6,976"
Kab. Buton Tengah,Sulawesi Tenggara,0.49%,"8,411"
Kab. Buton Utara,Sulawesi Tenggara,0.38%,"6,519"
Kab. Ciamis,Jawa Barat,0.28%,"107,684"
Kab. Cianjur,Jawa Barat,0.45%,"170,672"
Kab. Cilacap,Jawa Tengah,0.60%,"172,905"
Kab. Cirebon,Jawa Barat,0.51%,"193,332"
Kab. Dairi,Sumatera Utara,0.32%,"35,984"
Kab. Deiyai,Papua,0.03%,841
Kab. Deli Serdang,Sumatera Utara,1.58%,"180,071"
Kab. Demak,Jawa Tengah,0.68%,"196,312"
Kab. Dharmasraya,Sumatera Barat,1.01%,"44,390"
Kab. Dogiyai,Papua,0.05%,"1,349"
Kab. Dompu,Nusa Tenggara Barat,0.56%,"22,081"
Kab. Donggala,Sulawesi Tengah,0.59%,"12,655"
Kab. Empat Lawang,Sumatera Selatan,0.36%,"22,379"
Kab. Ende,Nusa Tenggara Timur,0.48%,"15,572"
Kab. Enrekang,Sulawesi Selatan,0.41%,"28,750"
Kab. Fak Fak,Papua Barat,1.33%,"10,597"
Kab. Flores Timur,Nusa Tenggara Timur,0.41%,"15,840"
Kab. Garut,Jawa Barat,0.52%,"195,470"
Kab. Gayo Lues,Aceh,0.38%,"15,116"
Kab. Gianyar,Bali,9.79%,"333,245"
Kab. Gorontalo,Gorontalo,5.41%,"50,733"
Kab. Gorontalo Utara,Gorontalo,2.32%,"21,791"
Kab. Gowa,Sulawesi Selatan,0.90%,"63,279"
Kab. Gresik,Jawa Timur,0.80%,"255,045"
Kab. Grobogan,Jawa Tengah,0.53%,"152,825"
Kab. Gunung Mas,Kalimantan Tengah,0.94%,"19,223"
Kab. Gunungkidul,Yogyakarta,6.49%,"187,034"
Kab. Halmahera Barat,Maluku Utara,0.88%,"8,385"
Kab. Halmahera Selatan,Maluku Utara,2.47%,"23,524"
Kab. Halmahera Tengah,Maluku Utara,1.30%,"12,394"
Kab. Halmahera Timur,Maluku Utara,0.76%,"7,298"
Kab. Halmahera Utara,Maluku Utara,1.05%,"10,052"
Kab. Hulu Sungai Selatan,Kalimantan Selatan,0.94%,"29,721"
Kab. Hulu Sungai Tengah,Kalimantan Selatan,0.68%,"21,553"
Kab. Hulu Sungai Utara,Kalimantan Selatan,0.72%,"22,690"
Kab. Humbang Hasundutan,Sumatera Utara,0.42%,"47,910"
Kab. Indragiri Hilir,Riau,1.14%,"55,317"
Kab. Indragiri Hulu,Riau,0.98%,"47,331"
Kab. Indramayu,Jawa Barat,0.46%,"172,863"
Kab. Intan Jaya,Papua,0.08%,"1,666"
Kab. Jayapura,Papua,1.23%,"31,785"
Kab. Jayawijaya,Papua,0.55%,"14,256"
Kab. Jember,Jawa Timur,0.66%,"208,596"
Kab. Jembrana,Bali,5.93%,"201,991"
Kab. Jeneponto,Sulawesi Selatan,0.39%,"27,564"
Kab. Jepara,Jawa Tengah,0.57%,"163,096"
Kab. Jombang,Jawa Timur,1.74%,"555,186"
Kab. Kaimana,Papua Barat,1.01%,"8,057"
Kab. Kampar,Riau,1.19%,"57,816"
Kab. Kapuas,Kalimantan Tengah,1.84%,"37,420"
Kab. Kapuas Hulu,Kalimantan Barat,0.60%,"23,105"
Kab. Karanganyar,Jawa Tengah,0.56%,"160,146"
Kab. Karangasem,Bali,9.27%,"315,785"
Kab. Karawang,Jawa Barat,0.79%,"299,254"
Kab. Karimun,Kepulauan Riau,7.73%,"122,195"
Kab. Karo,Sumatera Utara,0.39%,"44,988"
Kab. Katingan,Kalimantan Tengah,1.01%,"20,612"
Kab. Kaur,Bengkulu,0.78%,"12,178"
Kab. Kayong Utara,Kalimantan Barat,0.32%,"12,571"
Kab. Kebumen,Jawa Tengah,0.62%,"178,057"
Kab. Kediri,Jawa Timur,1.21%,"383,625"
Kab. Keerom,Papua,0.32%,"8,386"
Kab. Kendal,Jawa Tengah,0.39%,"113,216"
Kab. Kep. Siau Tagulandang  Biaro,Sulawesi Utara,1.11%,"20,373"
Kab. Kepahiang,Bengkulu,0.99%,"15,457"
Kab. Kepulauan Anambas,Kepulauan Riau,1.39%,"21,930"
Kab. Kepulauan Aru,Maluku,0.67%,"8,040"
Kab. Kepulauan Mentawai,Sumatera Barat,0.19%,"8,208"
Kab. Kepulauan Meranti,Riau,0.56%,"27,272"
Kab. Kepulauan Sangihe,Sulawesi Utara,1.10%,"22,972"
Kab. Kepulauan Selayar,Sulawesi Selatan,0.31%,"21,534"
Kab. Kepulauan Sula,Maluku Utara,0.81%,"6,555"
Kab. Kepulauan Talaud,Sulawesi Utara,1.15%,"23,978"
Kab. Kepulauan Tanimbar,Maluku,0.72%,"8,640"
Kab. Kepulauan Yapen,Papua,0.29%,"7,588"
Kab. Kerinci,Jambi,1.32%,"35,370"
Kab. Ketapang,Kalimantan Barat,0.97%,"37,432"
Kab. Klaten,Jawa Tengah,0.45%,"129,492"
Kab. Klungkung,Bali,4.26%,"145,141"
Kab. Kolaka,Sulawesi Tenggara,1.82%,"36,511"
Kab. Kolaka Timur,Sulawesi Tenggara,0.75%,"14,952"
Kab. Kolaka Utara,Sulawesi Tenggara,0.84%,"16,838"
Kab. Konawe,Sulawesi Tenggara,1.63%,"27,780"
Kab. Konawe Kepulauan,Sulawesi Tenggara,0.18%,"3,098"
Kab. Konawe Selatan,Sulawesi Tenggara,1.81%,"36,288"
Kab. Konawe Utara,Sulawesi Tenggara,0.80%,"16,034"
Kab. Kotabaru,Kalimantan Selatan,0.68%,"21,386"
Kab. Kotawaringin Barat,Kalimantan Tengah,2.37%,"48,193"
Kab. Kotawaringin Timur,Kalimantan Tengah,2.44%,"49,677"
Kab. Kuantan Singingi,Riau,0.84%,"40,511"
Kab. Kubu Raya,Kalimantan Barat,1.62%,"62,797"
Kab. Kudus,Jawa Tengah,0.55%,"157,688"
Kab. Kulon Progo,Yogyakarta,2.80%,"80,698"
Kab. Kuningan,Jawa Barat,0.35%,"132,946"
Kab. Kupang,Nusa Tenggara Timur,1.83%,"70,121"
Kab. Kutai Barat,Kalimantan Timur,1.03%,"29,540"
Kab. Kutai Kartanegara,Kalimantan Timur,3.17%,"91,016"
Kab. Kutai Timur,Kalimantan Timur,1.48%,"42,591"
Kab. Labuhanbatu,Sumatera Utara,0.35%,"34,003"
Kab. Labuhanbatu Selatan,Sumatera Utara,0.15%,"14,402"
Kab. Labuhanbatu Utara,Sumatera Utara,0.25%,"24,151"
Kab. Lahat,Sumatera Selatan,0.75%,"47,344"
Kab. Lamandau,Kalimantan Tengah,0.84%,"17,084"
Kab. Lamongan,Jawa Timur,0.55%,"174,848"
Kab. Lampung Barat,Lampung,0.28%,"18,913"
Kab. Lampung Selatan,Lampung,1.09%,"72,175"
Kab. Lampung Tengah,Lampung,0.87%,"57,758"
Kab. Lampung Timur,Lampung,0.58%,"38,213"
Kab. Lampung Utara,Lampung,0.58%,"38,615"
Kab. Landak,Kalimantan Barat,0.74%,"28,489"
Kab. Langkat,Sumatera Utara,0.52%,"59,819"
Kab. Lanny Jaya,Papua,0.04%,976
Kab. Lebak,Banten,0.86%,"79,123"
Kab. Lebong,Bengkulu,0.58%,"9,019"
Kab. Lembata,Nusa Tenggara Timur,0.22%,"8,441"
Kab. Lima Puluh Kota,Sumatera Barat,0.78%,"34,235"
Kab. Lingga,Kepulauan Riau,2.18%,"34,468"
Kab. Lombok Barat,Nusa Tenggara Barat,1.40%,"54,767"
Kab. Lombok Tengah,Nusa Tenggara Barat,2.02%,"78,889"
Kab. Lombok Timur,Nusa Tenggara Barat,2.50%,"97,775"
Kab. Lombok Utara,Nusa Tenggara Barat,0.73%,"28,700"
Kab. Lumajang,Jawa Timur,0.26%,"83,432"
Kab. Luwu,Sulawesi Selatan,0.79%,"55,848"
Kab. Luwu Timur,Sulawesi Selatan,0.51%,"35,765"
Kab. Luwu Utara,Sulawesi Selatan,0.61%,"42,929"
Kab. Madiun,Jawa Timur,0.40%,"127,909"
Kab. Magelang,Jawa Tengah,0.38%,"108,377"
Kab. Magetan,Jawa Timur,0.28%,"87,806"
Kab. Mahakam Ulu,Kalimantan Timur,0.28%,"8,133"
Kab. Majalengka,Jawa Barat,0.29%,"108,377"
Kab. Majene,Sulawesi Barat,2.08%,"22,661"
Kab. Malaka,Nusa Tenggara Timur,0.30%,"11,658"
Kab. Malang,Jawa Timur,0.73%,"232,669"
Kab. Malinau,Kalimantan Utara,2.51%,"13,689"
Kab. Maluku Barat Daya,Maluku,0.38%,"5,414"
Kab. Maluku Tengah,Maluku,1.32%,"18,736"
Kab. Maluku Tenggara,Maluku,0.89%,"12,558"
Kab. Mamasa,Sulawesi Barat,2.33%,"25,343"
Kab. Mamberamo Raya,Papua,0.07%,"1,791"
Kab. Mamberamo Tengah,Papua,0.03%,705
Kab. Mamuju,Sulawesi Barat,3.13%,"34,104"
Kab. Mamuju Tengah,Sulawesi Barat,1.89%,"20,550"
Kab. Mandailing Natal,Sumatera Utara,0.23%,"26,149"
Kab. Manggarai,Nusa Tenggara Timur,0.73%,"28,056"
Kab. Manggarai Barat,Nusa Tenggara Timur,1.08%,"41,557"
Kab. Manggarai Timur,Nusa Tenggara Timur,0.43%,"14,061"
Kab. Manokwari,Papua Barat,6.02%,"47,986"
Kab. Manokwari Selatan,Papua Barat,0.73%,"5,793"
Kab. Mappi,Papua,0.33%,"8,538"
Kab. Maros,Sulawesi Selatan,0.83%,"58,731"
Kab. Maybrat,Papua Barat,0.21%,"1,427"
Kab. Melawi,Kalimantan Barat,0.46%,"17,650"
Kab. Mempawah,Kalimantan Barat,0.61%,"23,697"
Kab. Merangin,Jambi,1.29%,"34,597"
Kab. Merauke,Papua,1.90%,"49,212"
Kab. Mesuji,Lampung,0.14%,"9,047"
Kab. Mimika,Papua,2.32%,"59,950"
Kab. Minahasa,Sulawesi Utara,3.78%,"78,744"
Kab. Minahasa Selatan,Sulawesi Utara,2.77%,"57,555"
Kab. Minahasa Tenggara,Sulawesi Utara,1.28%,"26,531"
Kab. Minahasa Utara,Sulawesi Utara,1.80%,"37,458"
Kab. Mojokerto,Jawa Timur,0.33%,"105,467"
Kab. Morowali,Sulawesi Tengah,1.17%,"24,948"
Kab. Morowali Utara,Sulawesi Tengah,0.85%,"18,225"
Kab. Muara Enim,Sumatera Selatan,1.07%,"67,606"
Kab. Muaro Jambi,Jambi,2.32%,"62,353"
Kab. Muko Muko,Bengkulu,0.92%,"14,350"
Kab. Muna,Sulawesi Tenggara,1.29%,"25,767"
Kab. Muna Barat,Sulawesi Tenggara,0.63%,"10,686"
Kab. Murung Raya,Kalimantan Tengah,1.37%,"24,070"
Kab. Musi Banyuasin,Sumatera Selatan,0.94%,"59,411"
Kab. Musi Rawas,Sumatera Selatan,0.60%,"37,768"
Kab. Musi Rawas Utara,Sumatera Selatan,0.23%,"14,704"
Kab. Nabire,Papua,0.76%,"19,540"
Kab. Nagan Raya,Aceh,0.61%,"24,620"
Kab. Nagekeo,Nusa Tenggara Timur,0.39%,"12,769"
Kab. Natuna,Kepulauan Riau,2.72%,"43,050"
Kab. Nduga,Papua,0.02%,349
Kab. Ngada,Nusa Tenggara Timur,0.32%,"12,345"
Kab. Nganjuk,Jawa Timur,0.55%,"175,664"
Kab. Ngawi,Jawa Timur,0.45%,"141,859"
Kab. Nias,Sumatera Utara,0.06%,"6,771"
Kab. Nias Barat,Sumatera Utara,0.06%,"5,894"
Kab. Nias Selatan,Sumatera Utara,0.12%,"13,361"
Kab. Nias Utara,Sumatera Utara,0.06%,"6,932"
Kab. Nunukan,Kalimantan Utara,3.44%,"18,785"
Kab. Ogan Ilir,Sumatera Selatan,0.68%,"36,875"
Kab. Ogan Komering Ilir,Sumatera Selatan,0.85%,"53,532"
Kab. Ogan Komering Ulu,Sumatera Selatan,0.74%,"46,465"
Kab. Ogan Komering Ulu  Selatan,Sumatera Selatan,0.47%,"29,828"
Kab. Ogan Komering Ulu  Timur,Sumatera Selatan,0.75%,"47,321"
Kab. Pacitan,Jawa Timur,0.18%,"56,911"
Kab. Padang Lawas,Sumatera Utara,0.19%,"19,006"
Kab. Padang Lawas Utara,Sumatera Utara,0.31%,"34,973"
Kab. Padang Pariaman,Sumatera Barat,0.60%,"26,520"
Kab. Pahuwato,Gorontalo,1.76%,"16,560"
Kab. Pakpak Bharat,Sumatera Utara,0.17%,"19,302"
Kab. Pamekasan,Jawa Timur,0.18%,"58,500"
Kab. Pandeglang,Banten,0.93%,"86,189"
Kab. Pangandaran,Jawa Barat,0.18%,"68,728"
Kab. Pangkajene Kepulauan,Sulawesi Selatan,0.52%,"36,605"
Kab. Paniai,Papua,0.14%,"3,500"
Kab. Parigi Moutong,Sulawesi Tengah,0.99%,"21,113"
Kab. Pasaman,Sumatera Barat,0.53%,"23,205"
Kab. Pasaman Barat,Sumatera Barat,0.47%,"20,787"
Kab. Pasangkayu,Sulawesi Barat,1.76%,"19,132"
Kab. Paser,Kalimantan Timur,0.90%,"25,735"
Kab. Pasuruan,Jawa Timur,0.39%,"125,259"
Kab. Pati,Jawa Tengah,0.54%,"155,351"
Kab. Pegunungan Arfak,Papua Barat,0.01%,78
Kab. Pekalongan,Jawa Tengah,0.30%,"87,502"
Kab. Pelalawan,Riau,0.57%,"27,750"
Kab. Pemalang,Jawa Tengah,0.54%,"155,644"
Kab. Penajam Paser Utara,Kalimantan Timur,0.73%,"21,099"
Kab. Penukal Abab Lematang  Ilir,Sumatera Selatan,0.33%,"20,782"
Kab. Pesawaran,Lampung,0.32%,"21,577"
Kab. Pesisir Barat,Lampung,0.12%,"7,131"
Kab. Pesisir Selatan,Sumatera Barat,0.68%,"29,971"
Kab. Pidie,Aceh,0.90%,"36,369"
Kab. Pidie Jaya,Aceh,0.38%,"15,321"
Kab. Pinrang,Sulawesi Selatan,0.74%,"52,182"
Kab. Polewali Mandar,Sulawesi Barat,5.73%,"62,393"
Kab. Ponorogo,Jawa Timur,0.30%,"94,166"
Kab. Poso,Sulawesi Tengah,1.09%,"23,181"
Kab. Pringsewu,Lampung,0.28%,"18,625"
Kab. Probolinggo,Jawa Timur,0.66%,"210,755"
Kab. Pulang Pisau,Kalimantan Tengah,1.40%,"28,410"
Kab. Pulau Morotai,Maluku Utara,0.53%,"5,087"
Kab. Pulau Taliabu,Maluku Utara,0.32%,"3,097"
Kab. Puncak,Papua,0.06%,"1,391"
Kab. Puncak Jaya,Papua,0.12%,"2,504"
Kab. Purbalingga,Jawa Tengah,0.32%,"92,128"
Kab. Purwakarta,Jawa Barat,0.27%,"102,970"
Kab. Purworejo,Jawa Tengah,0.30%,"86,956"
Kab. Raja Ampat,Papua Barat,1.14%,"9,128"
Kab. Rejang Lebong,Bengkulu,1.69%,"26,329"
Kab. Rembang,Jawa Tengah,0.35%,"100,623"
Kab. Rokan Hilir,Riau,1.27%,"61,344"
Kab. Rokan Hulu,Riau,0.90%,"43,357"
Kab. Rote Ndao,Nusa Tenggara Timur,0.34%,"13,125"
Kab. Sabu Raijua,Nusa Tenggara Timur,0.20%,"7,841"
Kab. Sambas,Kalimantan Barat,0.96%,"37,296"
Kab. Samosir,Sumatera Utara,0.27%,"26,776"
Kab. Sampang,Jawa Timur,0.13%,"40,492"
Kab. Sanggau,Kalimantan Barat,0.84%,"32,697"
Kab. Sarmi,Papua,0.15%,"3,213"
Kab. Sarolangun,Jambi,1.30%,"35,035"
Kab. Sekadau,Kalimantan Barat,0.50%,"19,530"
Kab. Seluma,Bengkulu,1.24%,"19,199"
Kab. Semarang,Jawa Tengah,0.41%,"118,503"
Kab. Seram Bagian Barat,Maluku,1.03%,"14,643"
Kab. Seram Bagian Timur,Maluku,0.49%,"5,902"
Kab. Serang,Banten,0.69%,"63,903"
Kab. Serdang Bedagai,Sumatera Utara,0.93%,"91,867"
Kab. Seruyan,Kalimantan Tengah,1.21%,"24,543"
Kab. Siak,Riau,1.00%,"48,212"
Kab. Sidenreng Rappang,Sulawesi Selatan,0.46%,"32,227"
Kab. Sidoarjo,Jawa Timur,1.56%,"496,483"
Kab. Sigi,Sulawesi Tengah,0.72%,"15,325"
Kab. Sijunjung,Sumatera Barat,0.59%,"25,792"
Kab. Sikka,Nusa Tenggara Timur,0.62%,"23,861"
Kab. Simalungun,Sumatera Utara,0.63%,"72,203"
Kab. Simeulue,Aceh,0.18%,"7,323"
Kab. Sinjai,Sulawesi Selatan,0.51%,"36,336"
Kab. Sintang,Kalimantan Barat,1.20%,"46,293"
Kab. Situbondo,Jawa Timur,0.18%,"57,705"
Kab. Sleman,Yogyakarta,12.18%,"350,684"
Kab. Solok,Sumatera Barat,0.76%,"33,433"
Kab. Solok Selatan,Sumatera Barat,0.43%,"19,150"
Kab. Soppeng,Sulawesi Selatan,0.81%,"56,955"
Kab. Sorong,Papua Barat,1.82%,"14,516"
Kab. Sorong Selatan,Papua Barat,0.65%,"5,212"
Kab. Sragen,Jawa Tengah,0.33%,"96,006"
Kab. Subang,Jawa Barat,0.50%,"187,900"
Kab. Sukabumi,Jawa Barat,0.64%,"241,278"
Kab. Sukamara,Kalimantan Tengah,0.86%,"17,573"
Kab. Sukoharjo,Jawa Tengah,0.46%,"131,696"
Kab. Sumba Barat,Nusa Tenggara Timur,0.46%,"17,446"
Kab. Sumba Barat Daya,Nusa Tenggara Timur,0.47%,"17,830"
Kab. Sumba Tengah,Nusa Tenggara Timur,0.24%,"7,680"
Kab. Sumba Timur,Nusa Tenggara Timur,0.56%,"21,540"
Kab. Sumbawa,Nusa Tenggara Barat,1.11%,"43,587"
Kab. Sumbawa Barat,Nusa Tenggara Barat,0.54%,"21,039"
Kab. Sumedang,Jawa Barat,0.37%,"138,851"
Kab. Sumenep,Jawa Timur,0.24%,"76,601"
Kab. Supiori,Papua,0.07%,"1,429"
Kab. Tabalong,Kalimantan Selatan,0.98%,"30,831"
Kab. Tabanan,Bali,9.80%,"333,731"
Kab. Takalar,Sulawesi Selatan,0.60%,"42,454"
Kab. Tambrauw,Papua Barat,0.10%,684
Kab. Tana Tidung,Kalimantan Utara,0.89%,"4,862"
Kab. Tana Toraja,Sulawesi Selatan,0.67%,"47,455"
Kab. Tanah Bumbu,Kalimantan Selatan,0.85%,"26,745"
Kab. Tanah Datar,Sumatera Barat,0.82%,"36,118"
Kab. Tanah Laut,Kalimantan Selatan,0.73%,"22,997"
Kab. Tangerang,Banten,3.56%,"328,648"
Kab. Tanggamus,Lampung,0.49%,"32,646"
Kab. Tanjung Jabung Barat,Jambi,1.68%,"45,192"
Kab. Tanjung Jabung Timur,Jambi,1.33%,"35,635"
Kab. Tapanuli Selatan,Sumatera Utara,0.26%,"30,038"
Kab. Tapanuli Tengah,Sumatera Utara,0.22%,"25,590"
Kab. Tapanuli Utara,Sumatera Utara,0.41%,"46,348"
Kab. Tapin,Kalimantan Selatan,0.52%,"16,459"
Kab. Tasikmalaya,Jawa Barat,0.30%,"114,221"
Kab. Tebo,Jambi,2.00%,"53,794"
Kab. Tegal,Jawa Tengah,0.43%,"122,646"
Kab. Teluk Bintuni,Papua Barat,1.35%,"10,756"
Kab. Teluk Wondama,Papua Barat,0.79%,"6,285"
Kab. Temanggung,Jawa Tengah,0.31%,"88,834"
Kab. Timor Tengah Utara,Nusa Tenggara Timur,0.45%,"17,218"
Kab. Toba Samosir,Sumatera Utara,0.20%,"22,849"
Kab. Tojo Una Una,Sulawesi Tengah,0.47%,"10,011"
Kab. Toli Toli,Sulawesi Tengah,1.20%,"21,876"
Kab. Tolikara,Papua,0.07%,"1,589"
Kab. Toraja Utara,Sulawesi Selatan,0.37%,"26,203"
Kab. Trenggalek,Jawa Timur,0.24%,"75,098"
Kab. Tuban,Jawa Timur,0.44%,"140,751"
Kab. Tulang Bawang,Lampung,0.49%,"28,291"
Kab. Tulang Bawang Barat,Lampung,0.19%,"10,840"
Kab. Tulungagung,Jawa Timur,0.62%,"196,494"
Kab. Wajo,Sulawesi Selatan,0.86%,"60,428"
Kab. Wakatobi,Sulawesi Tenggara,0.46%,"9,310"
Kab. Waropen,Papua,0.05%,"1,176"
Kab. Way Kanan,Lampung,0.35%,"23,271"
Kab. Wonogiri,Jawa Tengah,0.33%,"95,164"
Kab. Wonosobo,Jawa Tengah,0.28%,"79,086"
Kab. Yahukimo,Papua,0.09%,"2,412"
Kab. Yalimo,Papua,0.04%,822
Kota Adm. Jakarta Barat,Jakarta Raya,15.62%,"1,311,382"
Kota Adm. Jakarta Pusat,Jakarta Raya,20.36%,"1,709,594"
Kota Adm. Jakarta Selatan,Jakarta Raya,22.40%,"1,880,721"
Kota Adm. Jakarta Timur,Jakarta Raya,18.00%,"1,511,513"
Kota Adm. Jakarta Utara,Jakarta Raya,14.69%,"1,232,968"
Kota Ambon,Maluku,8.34%,"118,185"
Kota Balikpapan,Kalimantan Timur,4.57%,"131,479"
Kota Banda Aceh,Aceh,2.35%,"94,605"
Kota Bandar Lampung,Lampung,3.18%,"211,280"
Kota Bandung,Jawa Barat,2.28%,"864,779"
Kota Banjar,Jawa Barat,0.14%,"53,994"
Kota Banjarbaru,Kalimantan Selatan,1.72%,"54,519"
Kota Banjarmasin,Kalimantan Selatan,4.39%,"138,811"
Kota Batam,Kepulauan Riau,37.83%,"598,079"
Kota Batu,Jawa Timur,0.13%,"39,978"
Kota Bau Bau,Sulawesi Tenggara,1.37%,"27,449"
Kota Bekasi,Jawa Barat,1.14%,"432,637"
Kota Bengkulu,Bengkulu,5.93%,"92,111"
Kota Bima,Nusa Tenggara Barat,0.77%,"29,989"
Kota Binjai,Sumatera Utara,0.35%,"39,932"
Kota Bitung,Sulawesi Utara,2.73%,"56,906"
Kota Blitar,Jawa Timur,0.21%,"65,599"
Kota Bogor,Jawa Barat,0.74%,"279,638"
Kota Bontang,Kalimantan Timur,1.35%,"38,814"
Kota Bukittinggi,Sumatera Barat,0.62%,"27,273"
Kota Cilegon,Banten,0.68%,"62,868"
Kota Cimahi,Jawa Barat,0.44%,"168,443"
Kota Cirebon,Jawa Barat,0.26%,"98,443"
Kota Denpasar,Bali,19.04%,"648,231"
Kota Depok,Jawa Barat,0.77%,"293,366"
Kota Dumai,Riau,2.14%,"103,754"
Kota Gorontalo,Gorontalo,6.13%,"57,522"
Kota Gunungsitoli,Sumatera Utara,0.14%,"16,556"
Kota Jambi,Jambi,7.57%,"203,366"
Kota Jayapura,Papua,3.73%,"96,427"
Kota Kediri,Jawa Timur,0.43%,"137,634"
Kota Kendari,Sulawesi Tenggara,4.47%,"89,516"
