Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab. Dompu,Nusa Tenggara Barat,0.55%,"21,617"
Kab. Donggala,Sulawesi Tengah,0.58%,"12,452"
Kab. Empat Lawang,Sumatera Selatan,0.35%,"22,066"
Kab. Ende,Nusa Tenggara Timur,0.47%,"15,214"
Kab. Enrekang,Sulawesi Selatan,0.39%,"27,612"
Kab. Fak Fak,Papua Barat,1.27%,"10,159"
Kab. Flores Timur,Nusa Tenggara Timur,0.38%,"14,582"
Kab. Garut,Jawa Barat,0.48%,"183,406"
Kab. Gayo Lues,Aceh,0.35%,"14,016"
Kab. Gianyar,Bali,9.76%,"332,325"
Kab. Gorontalo,Gorontalo,5.30%,"49,729"
Kab. Gorontalo Utara,Gorontalo,2.29%,"21,488"
Kab. Gowa,Sulawesi Selatan,0.87%,"61,346"
Kab. Gresik,Jawa Timur,0.78%,"247,113"
Kab. Grobogan,Jawa Tengah,0.52%,"148,893"
Kab. Gunung Mas,Kalimantan Tengah,0.93%,"18,982"
Kab. Gunungkidul,Yogyakarta,6.03%,"173,551"
Kab. Halmahera Barat,Maluku Utara,0.84%,"8,013"
Kab. Halmahera Selatan,Maluku Utara,2.38%,"22,699"
Kab. Halmahera Tengah,Maluku Utara,1.17%,"11,122"
Kab. Halmahera Timur,Maluku Utara,0.87%,"7,017"
Kab. Halmahera Utara,Maluku Utara,1.04%,"9,882"
Kab. Hulu Sungai Selatan,Kalimantan Selatan,0.94%,"29,599"
Kab. Hulu Sungai Tengah,Kalimantan Selatan,0.67%,"21,161"
Kab. Hulu Sungai Utara,Kalimantan Selatan,0.71%,"22,531"
Kab. Humbang Hasundutan,Sumatera Utara,0.41%,"47,311"
Kab. Indragiri Hilir,Riau,1.12%,"54,299"
Kab. Indragiri Hulu,Riau,0.98%,"47,253"
Kab. Indramayu,Jawa Barat,0.44%,"165,203"
Kab. Intan Jaya,Papua,0.08%,"1,664"
Kab. Jayapura,Papua,1.20%,"31,026"
Kab. Jayawijaya,Papua,0.54%,"13,955"
Kab. Jember,Jawa Timur,0.64%,"205,182"
Kab. Jembrana,Bali,5.89%,"200,598"
Kab. Jeneponto,Sulawesi Selatan,0.37%,"26,353"
Kab. Jepara,Jawa Tengah,0.52%,"150,792"
Kab. Jombang,Jawa Timur,1.74%,"553,534"
Kab. Kaimana,Papua Barat,0.97%,"7,695"
Kab. Kampar,Riau,1.17%,"56,760"
Kab. Kapuas,Kalimantan Tengah,1.83%,"37,337"
Kab. Kapuas Hulu,Kalimantan Barat,0.59%,"22,902"
Kab. Karanganyar,Jawa Tengah,0.50%,"144,234"
Kab. Karangasem,Bali,9.25%,"314,872"
Kab. Karawang,Jawa Barat,0.72%,"273,727"
Kab. Karimun,Kepulauan Riau,7.62%,"120,511"
Kab. Karo,Sumatera Utara,0.38%,"43,259"
Kab. Katingan,Kalimantan Tengah,1.00%,"20,434"
Kab. Kaur,Bengkulu,0.77%,"11,979"
Kab. Kayong Utara,Kalimantan Barat,0.32%,"12,499"
Kab. Kebumen,Jawa Tengah,0.61%,"174,824"
Kab. Kediri,Jawa Timur,1.18%,"375,635"
Kab. Keerom,Papua,0.32%,"8,184"
Kab. Kendal,Jawa Tengah,0.39%,"112,407"
Kab. Kep. Siau Tagulandang  Biaro,Sulawesi Utara,1.08%,"19,801"
Kab. Kepahiang,Bengkulu,0.98%,"15,283"
Kab. Kepulauan Anambas,Kepulauan Riau,1.36%,"21,494"
Kab. Kepulauan Aru,Maluku,0.66%,"7,887"
Kab. Kepulauan Mentawai,Sumatera Barat,0.18%,"7,936"
Kab. Kepulauan Meranti,Riau,0.56%,"26,972"
Kab. Kepulauan Sangihe,Sulawesi Utara,1.09%,"22,617"
Kab. Kepulauan Selayar,Sulawesi Selatan,0.30%,"21,341"
Kab. Kepulauan Sula,Maluku Utara,0.78%,"6,332"
Kab. Kepulauan Talaud,Sulawesi Utara,1.12%,"23,294"
Kab. Kepulauan Tanimbar,Maluku,0.70%,"8,471"
Kab. Kepulauan Yapen,Papua,0.29%,"7,403"
Kab. Kerinci,Jambi,1.26%,"33,860"
Kab. Ketapang,Kalimantan Barat,0.93%,"36,006"
Kab. Klaten,Jawa Tengah,0.44%,"126,699"
Kab. Klungkung,Bali,4.23%,"143,968"
Kab. Kolaka,Sulawesi Tenggara,2.10%,"35,781"
Kab. Kolaka Timur,Sulawesi Tenggara,0.74%,"14,889"
Kab. Kolaka Utara,Sulawesi Tenggara,0.84%,"16,757"
Kab. Konawe,Sulawesi Tenggara,1.61%,"27,503"
Kab. Konawe Kepulauan,Sulawesi Tenggara,0.18%,"3,004"
Kab. Konawe Selatan,Sulawesi Tenggara,1.80%,"36,098"
Kab. Konawe Utara,Sulawesi Tenggara,0.79%,"15,911"
Kab. Kotabaru,Kalimantan Selatan,0.65%,"20,605"
Kab. Kotawaringin Barat,Kalimantan Tengah,2.36%,"48,087"
Kab. Kotawaringin Timur,Kalimantan Tengah,2.42%,"49,226"
Kab. Kuantan Singingi,Riau,0.82%,"39,842"
Kab. Kubu Raya,Kalimantan Barat,1.59%,"61,700"
Kab. Kudus,Jawa Tengah,0.53%,"152,901"
Kab. Kulon Progo,Yogyakarta,2.61%,"75,197"
Kab. Kuningan,Jawa Barat,0.33%,"126,562"
Kab. Kupang,Nusa Tenggara Timur,1.77%,"68,007"
Kab. Kutai Barat,Kalimantan Timur,1.00%,"28,790"
Kab. Kutai Kartanegara,Kalimantan Timur,3.15%,"90,513"
Kab. Kutai Timur,Kalimantan Timur,1.40%,"40,163"
Kab. Labuhanbatu,Sumatera Utara,0.34%,"33,485"
Kab. Labuhanbatu Selatan,Sumatera Utara,0.14%,"13,707"
Kab. Labuhanbatu Utara,Sumatera Utara,0.24%,"24,081"
Kab. Lahat,Sumatera Selatan,0.74%,"46,579"
Kab. Lamandau,Kalimantan Tengah,0.83%,"16,900"
Kab. Lamongan,Jawa Timur,0.54%,"170,379"
Kab. Lampung Barat,Lampung,0.28%,"18,346"
Kab. Lampung Selatan,Lampung,1.07%,"71,184"
Kab. Lampung Tengah,Lampung,0.86%,"56,852"
Kab. Lampung Timur,Lampung,0.55%,"36,481"
Kab. Lampung Utara,Lampung,0.56%,"37,263"
Kab. Landak,Kalimantan Barat,0.73%,"28,116"
Kab. Langkat,Sumatera Utara,0.52%,"59,215"
Kab. Lanny Jaya,Papua,0.04%,942
Kab. Lebak,Banten,0.77%,"70,946"
Kab. Lebong,Bengkulu,0.57%,"8,872"
Kab. Lembata,Nusa Tenggara Timur,0.22%,"8,284"
Kab. Lima Puluh Kota,Sumatera Barat,0.77%,"33,941"
Kab. Lingga,Kepulauan Riau,2.13%,"33,648"
Kab. Lombok Barat,Nusa Tenggara Barat,1.39%,"54,381"
Kab. Lombok Tengah,Nusa Tenggara Barat,2.01%,"78,459"
Kab. Lombok Timur,Nusa Tenggara Barat,2.49%,"97,480"
Kab. Lombok Utara,Nusa Tenggara Barat,0.73%,"28,368"
Kab. Lumajang,Jawa Timur,0.25%,"80,835"
Kab. Luwu,Sulawesi Selatan,0.79%,"55,808"
Kab. Luwu Timur,Sulawesi Selatan,0.50%,"35,067"
Kab. Luwu Utara,Sulawesi Selatan,0.59%,"41,834"
Kab. Madiun,Jawa Timur,0.40%,"126,643"
Kab. Magelang,Jawa Tengah,0.37%,"107,263"
Kab. Magetan,Jawa Timur,0.27%,"84,498"
Kab. Mahakam Ulu,Kalimantan Timur,0.27%,"7,840"
Kab. Majalengka,Jawa Barat,0.26%,"97,594"
Kab. Majene,Sulawesi Barat,2.05%,"22,330"
Kab. Malaka,Nusa Tenggara Timur,0.36%,"11,628"
Kab. Malang,Jawa Timur,0.71%,"225,830"
Kab. Malinau,Kalimantan Utara,2.39%,"13,042"
Kab. Maluku Barat Daya,Maluku,0.36%,"5,164"
Kab. Maluku Tengah,Maluku,1.29%,"18,256"
Kab. Maluku Tenggara,Maluku,0.87%,"12,374"
Kab. Mamasa,Sulawesi Barat,2.24%,"24,346"
Kab. Mamberamo Raya,Papua,0.07%,"1,787"
Kab. Mamberamo Tengah,Papua,0.03%,705
Kab. Mamuju,Sulawesi Barat,3.08%,"33,602"
Kab. Mamuju Tengah,Sulawesi Barat,1.88%,"20,436"
Kab. Mandailing Natal,Sumatera Utara,0.22%,"25,420"
Kab. Manggarai,Nusa Tenggara Timur,0.73%,"27,932"
Kab. Manggarai Barat,Nusa Tenggara Timur,1.08%,"41,209"
Kab. Manggarai Timur,Nusa Tenggara Timur,0.42%,"13,746"
Kab. Manokwari,Papua Barat,5.87%,"46,791"
Kab. Manokwari Selatan,Papua Barat,0.71%,"5,634"
Kab. Mappi,Papua,0.32%,"8,248"
Kab. Maros,Sulawesi Selatan,0.82%,"58,076"
Kab. Maybrat,Papua Barat,0.21%,"1,417"
Kab. Melawi,Kalimantan Barat,0.46%,"17,623"
Kab. Mempawah,Kalimantan Barat,0.60%,"23,199"
Kab. Merangin,Jambi,1.20%,"32,136"
Kab. Merauke,Papua,1.84%,"47,549"
Kab. Mesuji,Lampung,0.13%,"8,823"
Kab. Mimika,Papua,2.26%,"58,269"
Kab. Minahasa,Sulawesi Utara,3.78%,"78,638"
Kab. Minahasa Selatan,Sulawesi Utara,2.75%,"57,183"
Kab. Minahasa Tenggara,Sulawesi Utara,1.25%,"26,092"
Kab. Minahasa Utara,Sulawesi Utara,1.80%,"37,430"
Kab. Mojokerto,Jawa Timur,0.33%,"103,898"
Kab. Morowali,Sulawesi Tengah,1.17%,"21,288"
Kab. Morowali Utara,Sulawesi Tengah,0.84%,"18,046"
Kab. Muara Enim,Sumatera Selatan,1.06%,"66,990"
Kab. Muaro Jambi,Jambi,2.17%,"58,192"
Kab. Muko Muko,Bengkulu,0.90%,"14,059"
Kab. Muna,Sulawesi Tenggara,1.27%,"25,372"
Kab. Muna Barat,Sulawesi Tenggara,0.62%,"10,651"
Kab. Murung Raya,Kalimantan Tengah,1.37%,"23,970"
Kab. Musi Banyuasin,Sumatera Selatan,0.93%,"58,358"
Kab. Musi Rawas,Sumatera Selatan,0.58%,"36,759"
Kab. Musi Rawas Utara,Sumatera Selatan,0.23%,"14,507"
Kab. Nabire,Papua,0.74%,"19,191"
Kab. Nagan Raya,Aceh,0.60%,"24,209"
Kab. Nagekeo,Nusa Tenggara Timur,0.36%,"11,803"
Kab. Natuna,Kepulauan Riau,2.65%,"41,969"
Kab. Nduga,Papua,0.02%,349
Kab. Ngada,Nusa Tenggara Timur,0.31%,"11,967"
Kab. Nganjuk,Jawa Timur,0.53%,"170,188"
Kab. Ngawi,Jawa Timur,0.44%,"141,156"
Kab. Nias,Sumatera Utara,0.06%,"6,597"
Kab. Nias Barat,Sumatera Utara,0.06%,"5,667"
Kab. Nias Selatan,Sumatera Utara,0.11%,"13,120"
Kab. Nias Utara,Sumatera Utara,0.07%,"6,705"
Kab. Nunukan,Kalimantan Utara,3.38%,"18,451"
Kab. Ogan Ilir,Sumatera Selatan,0.67%,"36,496"
Kab. Ogan Komering Ilir,Sumatera Selatan,0.84%,"52,915"
Kab. Ogan Komering Ulu,Sumatera Selatan,0.73%,"46,246"
Kab. Ogan Komering Ulu  Selatan,Sumatera Selatan,0.47%,"29,657"
Kab. Ogan Komering Ulu  Timur,Sumatera Selatan,0.74%,"46,817"
Kab. Pacitan,Jawa Timur,0.18%,"56,694"
Kab. Padang Lawas,Sumatera Utara,0.19%,"18,913"
Kab. Padang Lawas Utara,Sumatera Utara,0.30%,"34,605"
Kab. Padang Pariaman,Sumatera Barat,0.58%,"25,618"
Kab. Pahuwato,Gorontalo,1.73%,"16,190"
Kab. Pakpak Bharat,Sumatera Utara,0.17%,"19,260"
Kab. Pamekasan,Jawa Timur,0.18%,"57,149"
Kab. Pandeglang,Banten,0.84%,"77,444"
Kab. Pangandaran,Jawa Barat,0.15%,"57,706"
Kab. Pangkajene Kepulauan,Sulawesi Selatan,0.51%,"35,843"
Kab. Paniai,Papua,0.13%,"3,420"
Kab. Parigi Moutong,Sulawesi Tengah,0.99%,"21,051"
Kab. Pasaman,Sumatera Barat,0.52%,"23,091"
Kab. Pasaman Barat,Sumatera Barat,0.47%,"20,552"
Kab. Pasangkayu,Sulawesi Barat,2.04%,"18,886"
Kab. Paser,Kalimantan Timur,0.87%,"24,988"
Kab. Pasuruan,Jawa Timur,0.39%,"122,911"
Kab. Pati,Jawa Tengah,0.54%,"154,398"
Kab. Pegunungan Arfak,Papua Barat,0.01%,78
Kab. Pekalongan,Jawa Tengah,0.28%,"80,917"
Kab. Pelalawan,Riau,0.56%,"26,977"
Kab. Pemalang,Jawa Tengah,0.49%,"141,603"
Kab. Penajam Paser Utara,Kalimantan Timur,0.71%,"20,284"
Kab. Penukal Abab Lematang  Ilir,Sumatera Selatan,0.32%,"20,062"
Kab. Pesawaran,Lampung,0.32%,"21,483"
Kab. Pesisir Barat,Lampung,0.12%,"6,875"
Kab. Pesisir Selatan,Sumatera Barat,0.67%,"29,684"
Kab. Pidie,Aceh,0.88%,"35,471"
Kab. Pidie Jaya,Aceh,0.34%,"13,788"
Kab. Pinrang,Sulawesi Selatan,0.72%,"51,005"
Kab. Polewali Mandar,Sulawesi Barat,5.65%,"61,556"
Kab. Ponorogo,Jawa Timur,0.29%,"93,336"
Kab. Poso,Sulawesi Tengah,1.07%,"22,827"
Kab. Pringsewu,Lampung,0.28%,"18,600"
Kab. Probolinggo,Jawa Timur,0.65%,"205,876"
Kab. Pulang Pisau,Kalimantan Tengah,1.39%,"28,356"
Kab. Pulau Morotai,Maluku Utara,0.51%,"4,847"
Kab. Pulau Taliabu,Maluku Utara,0.29%,"2,757"
Kab. Puncak,Papua,0.06%,"1,370"
Kab. Puncak Jaya,Papua,0.11%,"2,445"
Kab. Purbalingga,Jawa Tengah,0.30%,"85,723"
Kab. Purwakarta,Jawa Barat,0.24%,"91,560"
Kab. Purworejo,Jawa Tengah,0.29%,"84,136"
Kab. Raja Ampat,Papua Barat,1.11%,"8,874"
Kab. Rejang Lebong,Bengkulu,1.68%,"26,151"
Kab. Rembang,Jawa Tengah,0.34%,"97,384"
Kab. Rokan Hilir,Riau,1.26%,"61,189"
Kab. Rokan Hulu,Riau,0.88%,"42,652"
Kab. Rote Ndao,Nusa Tenggara Timur,0.32%,"12,381"
Kab. Sabu Raijua,Nusa Tenggara Timur,0.20%,"7,841"
Kab. Sambas,Kalimantan Barat,0.95%,"36,876"
Kab. Samosir,Sumatera Utara,0.26%,"25,133"
Kab. Sampang,Jawa Timur,0.12%,"37,717"
Kab. Sanggau,Kalimantan Barat,0.83%,"32,106"
Kab. Sarmi,Papua,0.14%,"3,124"
Kab. Sarolangun,Jambi,1.20%,"32,321"
Kab. Sekadau,Kalimantan Barat,0.49%,"19,003"
Kab. Seluma,Bengkulu,1.23%,"19,061"
Kab. Semarang,Jawa Tengah,0.41%,"116,998"
Kab. Seram Bagian Barat,Maluku,1.02%,"14,404"
Kab. Seram Bagian Timur,Maluku,0.47%,"5,593"
Kab. Serang,Banten,0.65%,"60,132"
Kab. Serdang Bedagai,Sumatera Utara,0.93%,"91,804"
Kab. Seruyan,Kalimantan Tengah,1.20%,"24,414"
Kab. Siak,Riau,0.99%,"47,978"
Kab. Sidenreng Rappang,Sulawesi Selatan,0.45%,"31,704"
Kab. Sidoarjo,Jawa Timur,1.49%,"475,424"
Kab. Sigi,Sulawesi Tengah,0.71%,"15,117"
Kab. Sijunjung,Sumatera Barat,0.58%,"25,786"
Kab. Sikka,Nusa Tenggara Timur,0.59%,"22,779"
Kab. Simalungun,Sumatera Utara,0.63%,"72,112"
Kab. Simeulue,Aceh,0.18%,"7,158"
Kab. Sinjai,Sulawesi Selatan,0.51%,"35,817"
Kab. Sintang,Kalimantan Barat,1.18%,"45,676"
Kab. Situbondo,Jawa Timur,0.18%,"56,122"
Kab. Sleman,Yogyakarta,11.50%,"331,182"
Kab. Solok,Sumatera Barat,0.74%,"32,754"
Kab. Solok Selatan,Sumatera Barat,0.42%,"18,471"
Kab. Soppeng,Sulawesi Selatan,0.79%,"55,810"
Kab. Sorong,Papua Barat,1.73%,"13,773"
Kab. Sorong Selatan,Papua Barat,0.64%,"5,099"
Kab. Sragen,Jawa Tengah,0.32%,"90,621"
Kab. Subang,Jawa Barat,0.47%,"178,235"
Kab. Sukabumi,Jawa Barat,0.63%,"237,702"
Kab. Sukamara,Kalimantan Tengah,0.86%,"17,508"
Kab. Sukoharjo,Jawa Tengah,0.43%,"122,764"
Kab. Sumba Barat,Nusa Tenggara Timur,0.43%,"16,453"
Kab. Sumba Barat Daya,Nusa Tenggara Timur,0.46%,"17,495"
Kab. Sumba Tengah,Nusa Tenggara Timur,0.24%,"7,635"
Kab. Sumba Timur,Nusa Tenggara Timur,0.55%,"20,927"
Kab. Sumbawa,Nusa Tenggara Barat,1.11%,"43,273"
Kab. Sumbawa Barat,Nusa Tenggara Barat,0.54%,"21,027"
Kab. Sumedang,Jawa Barat,0.32%,"119,724"
Kab. Sumenep,Jawa Timur,0.24%,"75,632"
Kab. Supiori,Papua,0.07%,"1,416"
Kab. Tabalong,Kalimantan Selatan,0.97%,"30,692"
Kab. Tabanan,Bali,9.77%,"332,538"
Kab. Takalar,Sulawesi Selatan,0.59%,"41,849"
Kab. Tambrauw,Papua Barat,0.10%,643
Kab. Tana Tidung,Kalimantan Utara,0.86%,"4,693"
Kab. Tana Toraja,Sulawesi Selatan,0.67%,"47,303"
Kab. Tanah Bumbu,Kalimantan Selatan,0.81%,"25,470"
Kab. Tanah Datar,Sumatera Barat,0.81%,"35,552"
Kab. Tanah Laut,Kalimantan Selatan,0.72%,"22,918"
Kab. Tangerang,Banten,3.26%,"300,905"
Kab. Tanggamus,Lampung,0.47%,"31,528"
Kab. Tanjung Jabung Barat,Jambi,1.67%,"44,743"
Kab. Tanjung Jabung Timur,Jambi,1.29%,"34,668"
Kab. Tapanuli Selatan,Sumatera Utara,0.26%,"29,742"
Kab. Tapanuli Tengah,Sumatera Utara,0.26%,"25,403"
Kab. Tapanuli Utara,Sumatera Utara,0.40%,"46,196"
Kab. Tapin,Kalimantan Selatan,0.52%,"16,342"
Kab. Tasikmalaya,Jawa Barat,0.29%,"110,082"
Kab. Tebo,Jambi,1.93%,"51,949"
Kab. Tegal,Jawa Tengah,0.42%,"120,553"
Kab. Teluk Bintuni,Papua Barat,1.32%,"10,554"
Kab. Teluk Wondama,Papua Barat,0.75%,"6,005"
Kab. Temanggung,Jawa Tengah,0.30%,"86,221"
Kab. Timor Tengah Utara,Nusa Tenggara Timur,0.45%,"17,182"
Kab. Toba Samosir,Sumatera Utara,0.20%,"22,754"
Kab. Tojo Una Una,Sulawesi Tengah,0.46%,"9,879"
Kab. Toli Toli,Sulawesi Tengah,1.20%,"21,854"
Kab. Tolikara,Papua,0.07%,"1,572"
Kab. Toraja Utara,Sulawesi Selatan,0.36%,"25,238"
Kab. Trenggalek,Jawa Timur,0.23%,"74,752"
Kab. Tuban,Jawa Timur,0.44%,"138,914"
Kab. Tulang Bawang,Lampung,0.48%,"27,514"
Kab. Tulang Bawang Barat,Lampung,0.19%,"10,751"
Kab. Tulungagung,Jawa Timur,0.62%,"195,988"
Kab. Wajo,Sulawesi Selatan,0.85%,"60,197"
Kab. Wakatobi,Sulawesi Tenggara,0.46%,"9,269"
Kab. Waropen,Papua,0.04%,"1,146"
Kab. Way Kanan,Lampung,0.34%,"22,409"
Kab. Wonogiri,Jawa Tengah,0.32%,"92,313"
Kab. Wonosobo,Jawa Tengah,0.27%,"77,399"
Kab. Yahukimo,Papua,0.09%,"2,368"
Kab. Yalimo,Papua,0.04%,814
Kota Adm. Jakarta Barat,Jakarta Raya,14.63%,"1,228,057"
Kota Adm. Jakarta Pusat,Jakarta Raya,19.69%,"1,653,051"
Kota Adm. Jakarta Selatan,Jakarta Raya,20.86%,"1,751,441"
Kota Adm. Jakarta Timur,Jakarta Raya,16.77%,"1,407,981"
Kota Adm. Jakarta Utara,Jakarta Raya,13.99%,"1,174,394"
Kota Ambon,Maluku,8.01%,"113,543"
Kota Balikpapan,Kalimantan Timur,4.35%,"124,967"
Kota Banda Aceh,Aceh,2.26%,"90,901"
Kota Bandar Lampung,Lampung,3.13%,"207,752"
Kota Bandung,Jawa Barat,2.12%,"803,456"
Kota Banjar,Jawa Barat,0.13%,"50,897"
Kota Banjarbaru,Kalimantan Selatan,1.71%,"53,954"
Kota Banjarmasin,Kalimantan Selatan,4.33%,"136,866"
Kota Batam,Kepulauan Riau,36.79%,"581,650"
Kota Batu,Jawa Timur,0.13%,"39,904"
Kota Bau Bau,Sulawesi Tenggara,1.32%,"26,407"
Kota Bekasi,Jawa Barat,1.07%,"404,916"
Kota Bengkulu,Bengkulu,5.81%,"90,256"
Kota Bima,Nusa Tenggara Barat,0.75%,"29,312"
Kota Binjai,Sumatera Utara,0.34%,"39,397"
Kota Bitung,Sulawesi Utara,2.72%,"56,559"
Kota Blitar,Jawa Timur,0.20%,"64,709"
Kota Bogor,Jawa Barat,0.66%,"249,898"
Kota Bontang,Kalimantan Timur,1.34%,"38,438"
Kota Bukittinggi,Sumatera Barat,0.61%,"26,778"
Kota Cilegon,Banten,0.62%,"57,047"
Kota Cimahi,Jawa Barat,0.40%,"152,716"
Kota Cirebon,Jawa Barat,0.25%,"94,684"
Kota Denpasar,Bali,18.61%,"633,580"
Kota Depok,Jawa Barat,0.74%,"278,664"
Kota Dumai,Riau,2.11%,"102,078"
Kota Gorontalo,Gorontalo,6.01%,"56,360"
Kota Gunungsitoli,Sumatera Utara,0.14%,"16,182"
Kota Jambi,Jambi,7.23%,"194,107"
Kota Jayapura,Papua,3.67%,"94,874"
Kota Kediri,Jawa Timur,0.42%,"134,541"
Kota Kendari,Sulawesi Tenggara,4.34%,"86,975"
