Kab/kota,Provinsi,Achievement % Vaksin2,Divaksin 2
Kab. Halmahera Barat,Maluku Utara,0.40%,"3,792"
Kab. Halmahera Selatan,Maluku Utara,0.73%,"7,001"
Kab. Halmahera Tengah,Maluku Utara,0.62%,"5,898"
Kab. Halmahera Timur,Maluku Utara,0.27%,"2,615"
Kab. Halmahera Utara,Maluku Utara,0.63%,"6,007"
Kab. Hulu Sungai Selatan,Kalimantan Selatan,0.56%,"17,755"
Kab. Hulu Sungai Tengah,Kalimantan Selatan,0.39%,"12,184"
Kab. Hulu Sungai Utara,Kalimantan Selatan,0.44%,"13,761"
Kab. Humbang Hasundutan,Sumatera Utara,0.17%,"19,811"
Kab. Indragiri Hilir,Riau,0.86%,"41,823"
Kab. Indragiri Hulu,Riau,0.64%,"30,955"
Kab. Indramayu,Jawa Barat,0.17%,"65,542"
Kab. Intan Jaya,Papua,0.04%,"1,129"
Kab. Jayapura,Papua,0.60%,"15,400"
Kab. Jayawijaya,Papua,0.34%,"8,834"
Kab. Jember,Jawa Timur,0.36%,"116,137"
Kab. Jembrana,Bali,1.72%,"58,427"
Kab. Jeneponto,Sulawesi Selatan,0.15%,"10,672"
Kab. Jepara,Jawa Tengah,0.22%,"63,516"
Kab. Jombang,Jawa Timur,0.92%,"291,833"
Kab. Kaimana,Papua Barat,0.57%,"4,506"
Kab. Kampar,Riau,0.65%,"31,310"
Kab. Kapuas,Kalimantan Tengah,1.03%,"20,898"
Kab. Kapuas Hulu,Kalimantan Barat,0.32%,"12,297"
Kab. Karanganyar,Jawa Tengah,0.29%,"82,531"
Kab. Karangasem,Bali,2.00%,"68,116"
Kab. Karawang,Jawa Barat,0.38%,"142,694"
Kab. Karimun,Kepulauan Riau,1.26%,"19,895"
Kab. Karo,Sumatera Utara,0.31%,"35,705"
Kab. Katingan,Kalimantan Tengah,0.67%,"13,635"
Kab. Kaur,Bengkulu,0.30%,"4,645"
Kab. Kayong Utara,Kalimantan Barat,0.13%,"5,222"
Kab. Kebumen,Jawa Tengah,0.37%,"106,948"
Kab. Kediri,Jawa Timur,0.53%,"169,250"
Kab. Keerom,Papua,0.18%,"4,544"
Kab. Kendal,Jawa Tengah,0.22%,"64,471"
Kab. Kep. Siau Tagulandang  Biaro,Sulawesi Utara,0.20%,"4,100"
Kab. Kepahiang,Bengkulu,0.28%,"4,422"
Kab. Kepulauan Anambas,Kepulauan Riau,0.23%,"3,569"
Kab. Kepulauan Aru,Maluku,0.32%,"4,590"
Kab. Kepulauan Mentawai,Sumatera Barat,0.10%,"4,240"
Kab. Kepulauan Meranti,Riau,0.27%,"12,848"
Kab. Kepulauan Sangihe,Sulawesi Utara,0.29%,"5,949"
Kab. Kepulauan Selayar,Sulawesi Selatan,0.23%,"15,998"
Kab. Kepulauan Sula,Maluku Utara,0.26%,"2,509"
Kab. Kepulauan Talaud,Sulawesi Utara,0.12%,"2,554"
Kab. Kepulauan Tanimbar,Maluku,0.44%,"6,247"
Kab. Kepulauan Yapen,Papua,0.14%,"3,701"
Kab. Kerinci,Jambi,0.36%,"9,783"
Kab. Ketapang,Kalimantan Barat,0.56%,"21,742"
Kab. Klaten,Jawa Tengah,0.33%,"95,616"
Kab. Klungkung,Bali,1.33%,"45,136"
Kab. Kolaka,Sulawesi Tenggara,0.83%,"16,696"
Kab. Kolaka Timur,Sulawesi Tenggara,0.34%,"6,877"
Kab. Kolaka Utara,Sulawesi Tenggara,0.52%,"10,486"
Kab. Konawe,Sulawesi Tenggara,0.57%,"11,371"
Kab. Konawe Kepulauan,Sulawesi Tenggara,0.06%,"1,231"
Kab. Konawe Selatan,Sulawesi Tenggara,0.74%,"14,818"
Kab. Konawe Utara,Sulawesi Tenggara,0.38%,"7,525"
Kab. Kotabaru,Kalimantan Selatan,0.40%,"12,508"
Kab. Kotawaringin Barat,Kalimantan Tengah,1.19%,"24,316"
Kab. Kotawaringin Timur,Kalimantan Tengah,1.06%,"21,557"
Kab. Kuantan Singingi,Riau,0.54%,"26,254"
Kab. Kubu Raya,Kalimantan Barat,0.64%,"24,681"
Kab. Kudus,Jawa Tengah,0.40%,"114,683"
Kab. Kulon Progo,Yogyakarta,1.12%,"32,163"
Kab. Kuningan,Jawa Barat,0.16%,"62,024"
Kab. Kupang,Nusa Tenggara Timur,0.59%,"22,793"
Kab. Kutai Barat,Kalimantan Timur,0.74%,"21,236"
Kab. Kutai Kartanegara,Kalimantan Timur,2.07%,"59,390"
Kab. Kutai Timur,Kalimantan Timur,0.82%,"23,533"
Kab. Labuhanbatu,Sumatera Utara,0.17%,"18,956"
Kab. Labuhanbatu Selatan,Sumatera Utara,0.07%,"8,486"
Kab. Labuhanbatu Utara,Sumatera Utara,0.12%,"13,999"
Kab. Lahat,Sumatera Selatan,0.48%,"30,515"
Kab. Lamandau,Kalimantan Tengah,0.46%,"9,325"
Kab. Lamongan,Jawa Timur,0.24%,"77,327"
Kab. Lampung Barat,Lampung,0.18%,"11,859"
Kab. Lampung Selatan,Lampung,0.59%,"39,252"
Kab. Lampung Tengah,Lampung,0.62%,"40,891"
Kab. Lampung Timur,Lampung,0.40%,"26,646"
Kab. Lampung Utara,Lampung,0.32%,"21,473"
Kab. Landak,Kalimantan Barat,0.37%,"14,469"
Kab. Langkat,Sumatera Utara,0.37%,"42,482"
Kab. Lanny Jaya,Papua,0.03%,675
Kab. Lebak,Banten,0.40%,"36,958"
Kab. Lebong,Bengkulu,0.25%,"3,812"
Kab. Lembata,Nusa Tenggara Timur,0.15%,"5,755"
Kab. Lima Puluh Kota,Sumatera Barat,0.27%,"12,071"
Kab. Lingga,Kepulauan Riau,0.48%,"7,590"
Kab. Lombok Barat,Nusa Tenggara Barat,0.52%,"20,161"
Kab. Lombok Tengah,Nusa Tenggara Barat,0.73%,"28,707"
Kab. Lombok Timur,Nusa Tenggara Barat,0.84%,"32,833"
Kab. Lombok Utara,Nusa Tenggara Barat,0.28%,"10,838"
Kab. Lumajang,Jawa Timur,0.16%,"50,225"
Kab. Luwu,Sulawesi Selatan,0.37%,"26,465"
Kab. Luwu Timur,Sulawesi Selatan,0.28%,"20,101"
Kab. Luwu Utara,Sulawesi Selatan,0.21%,"14,668"
Kab. Madiun,Jawa Timur,0.12%,"37,094"
Kab. Magelang,Jawa Tengah,0.29%,"81,936"
Kab. Magetan,Jawa Timur,0.16%,"50,128"
Kab. Mahakam Ulu,Kalimantan Timur,0.20%,"5,613"
Kab. Majalengka,Jawa Barat,0.14%,"51,954"
Kab. Majene,Sulawesi Barat,1.00%,"10,902"
Kab. Malaka,Nusa Tenggara Timur,0.21%,"8,198"
Kab. Malang,Jawa Timur,0.39%,"124,135"
Kab. Malinau,Kalimantan Utara,0.93%,"5,095"
Kab. Maluku Barat Daya,Maluku,0.17%,"2,454"
Kab. Maluku Tengah,Maluku,0.60%,"8,544"
Kab. Maluku Tenggara,Maluku,0.52%,"7,353"
Kab. Mamasa,Sulawesi Barat,1.32%,"14,388"
Kab. Mamberamo Raya,Papua,0.03%,700
Kab. Mamberamo Tengah,Papua,0.02%,532
Kab. Mamuju,Sulawesi Barat,1.45%,"15,761"
Kab. Mamuju Tengah,Sulawesi Barat,0.76%,"8,245"
Kab. Mandailing Natal,Sumatera Utara,0.11%,"12,809"
Kab. Manggarai,Nusa Tenggara Timur,0.53%,"20,379"
Kab. Manggarai Barat,Nusa Tenggara Timur,0.72%,"27,545"
Kab. Manggarai Timur,Nusa Tenggara Timur,0.19%,"7,112"
Kab. Manokwari,Papua Barat,2.88%,"22,946"
Kab. Manokwari Selatan,Papua Barat,0.31%,"2,443"
Kab. Mappi,Papua,0.16%,"4,102"
Kab. Maros,Sulawesi Selatan,0.26%,"18,240"
Kab. Maybrat,Papua Barat,0.14%,"1,079"
Kab. Melawi,Kalimantan Barat,0.31%,"11,906"
Kab. Mempawah,Kalimantan Barat,0.23%,"8,937"
Kab. Merangin,Jambi,0.49%,"13,030"
Kab. Merauke,Papua,1.09%,"28,175"
Kab. Mesuji,Lampung,0.08%,"5,153"
Kab. Mimika,Papua,1.17%,"30,243"
Kab. Minahasa,Sulawesi Utara,1.22%,"25,388"
Kab. Minahasa Selatan,Sulawesi Utara,0.46%,"9,532"
Kab. Minahasa Tenggara,Sulawesi Utara,0.32%,"6,729"
Kab. Minahasa Utara,Sulawesi Utara,0.34%,"7,086"
Kab. Mojokerto,Jawa Timur,0.16%,"51,219"
Kab. Morowali,Sulawesi Tengah,0.52%,"11,171"
Kab. Morowali Utara,Sulawesi Tengah,0.47%,"10,079"
Kab. Muara Enim,Sumatera Selatan,0.54%,"34,294"
Kab. Muaro Jambi,Jambi,0.89%,"23,853"
Kab. Muko Muko,Bengkulu,0.47%,"7,320"
Kab. Muna,Sulawesi Tenggara,0.55%,"10,945"
Kab. Muna Barat,Sulawesi Tenggara,0.17%,"3,332"
Kab. Murung Raya,Kalimantan Tengah,0.70%,"14,268"
Kab. Musi Banyuasin,Sumatera Selatan,0.47%,"29,696"
Kab. Musi Rawas,Sumatera Selatan,0.39%,"24,752"
Kab. Musi Rawas Utara,Sumatera Selatan,0.11%,"6,999"
Kab. Nabire,Papua,0.38%,"9,919"
Kab. Nagan Raya,Aceh,0.21%,"8,642"
Kab. Nagekeo,Nusa Tenggara Timur,0.17%,"6,520"
Kab. Natuna,Kepulauan Riau,0.40%,"6,367"
Kab. Nduga,Papua,0.01%,218
Kab. Ngada,Nusa Tenggara Timur,0.19%,"7,393"
Kab. Nganjuk,Jawa Timur,0.14%,"45,268"
Kab. Ngawi,Jawa Timur,0.12%,"37,151"
Kab. Nias,Sumatera Utara,0.04%,"5,038"
Kab. Nias Barat,Sumatera Utara,0.02%,"2,652"
Kab. Nias Selatan,Sumatera Utara,0.05%,"5,335"
Kab. Nias Utara,Sumatera Utara,0.04%,"4,057"
Kab. Nunukan,Kalimantan Utara,1.37%,"7,489"
Kab. Ogan Ilir,Sumatera Selatan,0.36%,"22,791"
Kab. Ogan Komering Ilir,Sumatera Selatan,0.42%,"26,333"
Kab. Ogan Komering Ulu,Sumatera Selatan,0.42%,"26,372"
Kab. Ogan Komering Ulu  Selatan,Sumatera Selatan,0.33%,"20,592"
Kab. Ogan Komering Ulu  Timur,Sumatera Selatan,0.52%,"32,554"
Kab. Pacitan,Jawa Timur,0.10%,"32,026"
Kab. Padang Lawas,Sumatera Utara,0.09%,"9,754"
Kab. Padang Lawas Utara,Sumatera Utara,0.09%,"10,662"
Kab. Padang Pariaman,Sumatera Barat,0.25%,"11,169"
Kab. Pahuwato,Gorontalo,0.97%,"9,102"
Kab. Pakpak Bharat,Sumatera Utara,0.12%,"13,485"
Kab. Pamekasan,Jawa Timur,0.09%,"30,010"
Kab. Pandeglang,Banten,0.42%,"39,222"
Kab. Pangandaran,Jawa Barat,0.08%,"29,369"
Kab. Pangkajene Kepulauan,Sulawesi Selatan,0.25%,"17,869"
Kab. Paniai,Papua,0.08%,"2,112"
Kab. Parigi Moutong,Sulawesi Tengah,0.35%,"7,462"
Kab. Pasaman,Sumatera Barat,0.16%,"7,109"
Kab. Pasaman Barat,Sumatera Barat,0.23%,"10,055"
Kab. Pasangkayu,Sulawesi Barat,0.78%,"8,550"
Kab. Paser,Kalimantan Timur,0.56%,"16,081"
Kab. Pasuruan,Jawa Timur,0.24%,"75,142"
Kab. Pati,Jawa Tengah,0.26%,"75,502"
Kab. Pegunungan Arfak,Papua Barat,0.01%,69
Kab. Pekalongan,Jawa Tengah,0.19%,"55,358"
Kab. Pelalawan,Riau,0.45%,"21,962"
Kab. Pemalang,Jawa Tengah,0.27%,"76,654"
Kab. Penajam Paser Utara,Kalimantan Timur,0.57%,"16,397"
Kab. Penukal Abab Lematang  Ilir,Sumatera Selatan,0.20%,"12,736"
Kab. Pesawaran,Lampung,0.21%,"14,189"
Kab. Pesisir Barat,Lampung,0.05%,"3,352"
Kab. Pesisir Selatan,Sumatera Barat,0.21%,"9,270"
Kab. Pidie,Aceh,0.44%,"17,698"
Kab. Pidie Jaya,Aceh,0.19%,"7,482"
Kab. Pinrang,Sulawesi Selatan,0.33%,"23,361"
Kab. Polewali Mandar,Sulawesi Barat,2.17%,"23,684"
Kab. Ponorogo,Jawa Timur,0.14%,"46,102"
Kab. Poso,Sulawesi Tengah,0.67%,"14,406"
Kab. Pringsewu,Lampung,0.21%,"14,184"
Kab. Probolinggo,Jawa Timur,0.21%,"66,293"
Kab. Pulang Pisau,Kalimantan Tengah,0.66%,"13,380"
Kab. Pulau Morotai,Maluku Utara,0.24%,"2,292"
Kab. Pulau Taliabu,Maluku Utara,0.15%,"1,433"
Kab. Puncak,Papua,0.04%,992
Kab. Puncak Jaya,Papua,0.05%,"1,269"
Kab. Purbalingga,Jawa Tengah,0.21%,"60,873"
Kab. Purwakarta,Jawa Barat,0.12%,"44,894"
Kab. Purworejo,Jawa Tengah,0.23%,"66,805"
Kab. Raja Ampat,Papua Barat,0.41%,"3,259"
Kab. Rejang Lebong,Bengkulu,0.92%,"14,353"
Kab. Rembang,Jawa Tengah,0.20%,"58,472"
Kab. Rokan Hilir,Riau,0.68%,"32,836"
Kab. Rokan Hulu,Riau,0.56%,"26,987"
Kab. Rote Ndao,Nusa Tenggara Timur,0.16%,"6,186"
Kab. Sabu Raijua,Nusa Tenggara Timur,0.13%,"5,017"
Kab. Sambas,Kalimantan Barat,0.59%,"23,031"
Kab. Samosir,Sumatera Utara,0.17%,"19,810"
Kab. Sampang,Jawa Timur,0.06%,"19,991"
Kab. Sanggau,Kalimantan Barat,0.44%,"16,997"
Kab. Sarmi,Papua,0.05%,"1,340"
Kab. Sarolangun,Jambi,0.50%,"13,432"
Kab. Sekadau,Kalimantan Barat,0.23%,"8,811"
Kab. Seluma,Bengkulu,0.49%,"7,547"
Kab. Semarang,Jawa Tengah,0.28%,"81,567"
Kab. Seram Bagian Barat,Maluku,0.47%,"6,717"
Kab. Seram Bagian Timur,Maluku,0.23%,"3,324"
Kab. Serang,Banten,0.41%,"38,293"
Kab. Serdang Bedagai,Sumatera Utara,0.26%,"29,337"
Kab. Seruyan,Kalimantan Tengah,0.60%,"12,202"
Kab. Siak,Riau,0.68%,"32,764"
Kab. Sidenreng Rappang,Sulawesi Selatan,0.26%,"18,053"
Kab. Sidoarjo,Jawa Timur,0.73%,"232,856"
Kab. Sigi,Sulawesi Tengah,0.28%,"6,079"
Kab. Sijunjung,Sumatera Barat,0.23%,"10,289"
Kab. Sikka,Nusa Tenggara Timur,0.37%,"14,063"
Kab. Simalungun,Sumatera Utara,0.41%,"47,116"
Kab. Simeulue,Aceh,0.07%,"3,011"
Kab. Sinjai,Sulawesi Selatan,0.25%,"17,353"
Kab. Sintang,Kalimantan Barat,0.65%,"24,979"
Kab. Situbondo,Jawa Timur,0.09%,"27,666"
Kab. Sleman,Yogyakarta,5.04%,"145,191"
Kab. Solok,Sumatera Barat,0.21%,"9,394"
Kab. Solok Selatan,Sumatera Barat,0.12%,"5,283"
Kab. Soppeng,Sulawesi Selatan,0.33%,"23,525"
Kab. Sorong,Papua Barat,0.82%,"6,539"
Kab. Sorong Selatan,Papua Barat,0.31%,"2,457"
Kab. Sragen,Jawa Tengah,0.22%,"64,618"
Kab. Subang,Jawa Barat,0.21%,"80,239"
Kab. Sukabumi,Jawa Barat,0.26%,"98,463"
Kab. Sukamara,Kalimantan Tengah,0.59%,"11,978"
Kab. Sukoharjo,Jawa Tengah,0.27%,"78,679"
Kab. Sumba Barat,Nusa Tenggara Timur,0.23%,"8,785"
Kab. Sumba Barat Daya,Nusa Tenggara Timur,0.22%,"8,379"
Kab. Sumba Tengah,Nusa Tenggara Timur,0.10%,"3,835"
Kab. Sumba Timur,Nusa Tenggara Timur,0.25%,"9,570"
Kab. Sumbawa,Nusa Tenggara Barat,0.57%,"22,318"
Kab. Sumbawa Barat,Nusa Tenggara Barat,0.21%,"8,113"
Kab. Sumedang,Jawa Barat,0.18%,"67,030"
Kab. Sumenep,Jawa Timur,0.11%,"35,628"
Kab. Supiori,Papua,0.04%,988
Kab. Tabalong,Kalimantan Selatan,0.54%,"16,940"
Kab. Tabanan,Bali,2.06%,"70,208"
Kab. Takalar,Sulawesi Selatan,0.28%,"20,031"
Kab. Tambrauw,Papua Barat,0.03%,255
Kab. Tana Tidung,Kalimantan Utara,0.46%,"2,501"
Kab. Tana Toraja,Sulawesi Selatan,0.43%,"30,058"
Kab. Tanah Bumbu,Kalimantan Selatan,0.45%,"14,166"
Kab. Tanah Datar,Sumatera Barat,0.34%,"14,839"
Kab. Tanah Laut,Kalimantan Selatan,0.50%,"15,687"
Kab. Tangerang,Banten,1.81%,"167,388"
Kab. Tanggamus,Lampung,0.31%,"20,389"
Kab. Tanjung Jabung Barat,Jambi,0.98%,"26,311"
Kab. Tanjung Jabung Timur,Jambi,0.60%,"16,180"
Kab. Tapanuli Selatan,Sumatera Utara,0.16%,"17,730"
Kab. Tapanuli Tengah,Sumatera Utara,0.12%,"14,053"
Kab. Tapanuli Utara,Sumatera Utara,0.18%,"20,930"
Kab. Tapin,Kalimantan Selatan,0.39%,"12,374"
Kab. Tasikmalaya,Jawa Barat,0.14%,"53,620"
Kab. Tebo,Jambi,0.81%,"21,700"
Kab. Tegal,Jawa Tengah,0.26%,"73,315"
Kab. Teluk Bintuni,Papua Barat,0.57%,"4,512"
Kab. Teluk Wondama,Papua Barat,0.43%,"3,433"
Kab. Temanggung,Jawa Tengah,0.20%,"56,288"
Kab. Timor Tengah Utara,Nusa Tenggara Timur,0.30%,"11,673"
Kab. Toba Samosir,Sumatera Utara,0.15%,"16,771"
Kab. Tojo Una Una,Sulawesi Tengah,0.27%,"5,872"
Kab. Toli Toli,Sulawesi Tengah,0.50%,"10,624"
Kab. Tolikara,Papua,0.04%,995
Kab. Toraja Utara,Sulawesi Selatan,0.26%,"18,468"
Kab. Trenggalek,Jawa Timur,0.13%,"40,168"
Kab. Tuban,Jawa Timur,0.13%,"42,710"
Kab. Tulang Bawang,Lampung,0.25%,"16,426"
Kab. Tulang Bawang Barat,Lampung,0.08%,"5,362"
Kab. Tulungagung,Jawa Timur,0.38%,"120,833"
Kab. Wajo,Sulawesi Selatan,0.40%,"28,012"
Kab. Wakatobi,Sulawesi Tenggara,0.17%,"3,318"
Kab. Waropen,Papua,0.02%,608
Kab. Way Kanan,Lampung,0.24%,"16,219"
Kab. Wonogiri,Jawa Tengah,0.28%,"79,668"
Kab. Wonosobo,Jawa Tengah,0.19%,"54,355"
Kab. Yahukimo,Papua,0.04%,"1,018"
Kab. Yalimo,Papua,0.03%,652
Kota Adm. Jakarta Barat,Jakarta Raya,7.00%,"587,998"
Kota Adm. Jakarta Pusat,Jakarta Raya,7.68%,"644,852"
Kota Adm. Jakarta Selatan,Jakarta Raya,10.64%,"893,470"
Kota Adm. Jakarta Timur,Jakarta Raya,7.31%,"613,538"
Kota Adm. Jakarta Utara,Jakarta Raya,5.39%,"452,739"
Kota Ambon,Maluku,3.23%,"45,846"
Kota Balikpapan,Kalimantan Timur,2.65%,"76,077"
Kota Banda Aceh,Aceh,1.17%,"47,109"
Kota Bandar Lampung,Lampung,2.27%,"150,933"
Kota Bandung,Jawa Barat,1.31%,"495,787"
Kota Banjar,Jawa Barat,0.08%,"30,929"
Kota Banjarbaru,Kalimantan Selatan,1.02%,"32,364"
Kota Banjarmasin,Kalimantan Selatan,2.30%,"72,783"
Kota Batam,Kepulauan Riau,7.89%,"124,768"
Kota Batu,Jawa Timur,0.08%,"24,275"
Kota Bau Bau,Sulawesi Tenggara,0.63%,"12,582"
Kota Bekasi,Jawa Barat,0.49%,"184,322"
Kota Bengkulu,Bengkulu,3.17%,"49,220"
Kota Bima,Nusa Tenggara Barat,0.26%,"10,333"
Kota Binjai,Sumatera Utara,0.18%,"20,571"
Kota Bitung,Sulawesi Utara,0.91%,"18,867"
Kota Blitar,Jawa Timur,0.10%,"32,152"
Kota Bogor,Jawa Barat,0.40%,"153,412"
Kota Bontang,Kalimantan Timur,0.88%,"25,311"
Kota Bukittinggi,Sumatera Barat,0.27%,"11,981"
Kota Cilegon,Banten,0.36%,"33,599"
Kota Cimahi,Jawa Barat,0.24%,"92,355"
Kota Cirebon,Jawa Barat,0.16%,"60,785"
Kota Denpasar,Bali,7.65%,"260,459"
Kota Depok,Jawa Barat,0.43%,"161,441"
Kota Dumai,Riau,1.32%,"63,926"
Kota Gorontalo,Gorontalo,3.76%,"35,256"
Kota Gunungsitoli,Sumatera Utara,0.10%,"11,240"
Kota Jambi,Jambi,3.93%,"105,597"
Kota Jayapura,Papua,1.93%,"49,893"
Kota Kediri,Jawa Timur,0.19%,"62,016"
Kota Kendari,Sulawesi Tenggara,2.18%,"43,745"
Kota Kotamobagu,Sulawesi Utara,0.42%,"8,635"
