Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab. Bombana,Sulawesi Tenggara,1.26%,"25,203"
Kab. Bondowoso,Jawa Timur,0.25%,"79,986"
Kab. Bone,Sulawesi Selatan,1.23%,"86,813"
Kab. Bone Bolango,Gorontalo,3.15%,"29,551"
Kab. Boven Digoel,Papua,0.27%,"6,928"
Kab. Boyolali,Jawa Tengah,0.46%,"132,699"
Kab. Brebes,Jawa Tengah,0.57%,"163,440"
Kab. Buleleng,Bali,13.74%,"467,982"
Kab. Bulukumba,Sulawesi Selatan,0.70%,"49,204"
Kab. Bulungan,Kalimantan Utara,5.17%,"28,225"
Kab. Bungo,Jambi,1.56%,"41,899"
Kab. Buol,Sulawesi Tengah,1.06%,"22,572"
Kab. Buru,Maluku,0.52%,"7,370"
Kab. Buru Selatan,Maluku,0.34%,"4,073"
Kab. Buton,Sulawesi Tenggara,0.64%,"10,897"
Kab. Buton Selatan,Sulawesi Tenggara,0.41%,"6,977"
Kab. Buton Tengah,Sulawesi Tenggara,0.49%,"8,429"
Kab. Buton Utara,Sulawesi Tenggara,0.38%,"6,554"
Kab. Ciamis,Jawa Barat,0.28%,"107,732"
Kab. Cianjur,Jawa Barat,0.45%,"171,566"
Kab. Cilacap,Jawa Tengah,0.60%,"173,553"
Kab. Cirebon,Jawa Barat,0.51%,"194,622"
Kab. Dairi,Sumatera Utara,0.32%,"35,984"
Kab. Deiyai,Papua,0.03%,842
Kab. Deli Serdang,Sumatera Utara,1.58%,"180,231"
Kab. Demak,Jawa Tengah,0.68%,"196,643"
Kab. Dharmasraya,Sumatera Barat,1.01%,"44,391"
Kab. Dogiyai,Papua,0.05%,"1,349"
Kab. Dompu,Nusa Tenggara Barat,0.57%,"22,196"
Kab. Donggala,Sulawesi Tengah,0.59%,"12,677"
Kab. Empat Lawang,Sumatera Selatan,0.36%,"22,389"
Kab. Ende,Nusa Tenggara Timur,0.48%,"15,659"
Kab. Enrekang,Sulawesi Selatan,0.41%,"28,820"
Kab. Fak Fak,Papua Barat,1.36%,"10,860"
Kab. Flores Timur,Nusa Tenggara Timur,0.42%,"15,925"
Kab. Garut,Jawa Barat,0.52%,"198,122"
Kab. Gayo Lues,Aceh,0.38%,"15,217"
Kab. Gianyar,Bali,9.79%,"333,398"
Kab. Gorontalo,Gorontalo,5.41%,"50,812"
Kab. Gorontalo Utara,Gorontalo,2.32%,"21,806"
Kab. Gowa,Sulawesi Selatan,0.90%,"63,375"
Kab. Gresik,Jawa Timur,0.81%,"257,355"
Kab. Grobogan,Jawa Tengah,0.53%,"153,460"
Kab. Gunung Mas,Kalimantan Tengah,0.94%,"19,223"
Kab. Gunungkidul,Yogyakarta,6.54%,"188,278"
Kab. Halmahera Barat,Maluku Utara,0.88%,"8,398"
Kab. Halmahera Selatan,Maluku Utara,2.49%,"23,774"
Kab. Halmahera Tengah,Maluku Utara,1.31%,"12,479"
Kab. Halmahera Timur,Maluku Utara,0.77%,"7,353"
Kab. Halmahera Utara,Maluku Utara,1.05%,"10,052"
Kab. Hulu Sungai Selatan,Kalimantan Selatan,0.94%,"29,726"
Kab. Hulu Sungai Tengah,Kalimantan Selatan,0.68%,"21,643"
Kab. Hulu Sungai Utara,Kalimantan Selatan,0.72%,"22,708"
Kab. Humbang Hasundutan,Sumatera Utara,0.42%,"47,915"
Kab. Indragiri Hilir,Riau,1.15%,"55,568"
Kab. Indragiri Hulu,Riau,0.98%,"47,369"
Kab. Indramayu,Jawa Barat,0.46%,"174,523"
Kab. Intan Jaya,Papua,0.08%,"1,673"
Kab. Jayapura,Papua,1.24%,"31,997"
Kab. Jayawijaya,Papua,0.55%,"14,314"
Kab. Jember,Jawa Timur,0.66%,"209,680"
Kab. Jembrana,Bali,5.94%,"202,333"
Kab. Jeneponto,Sulawesi Selatan,0.39%,"27,646"
Kab. Jepara,Jawa Tengah,0.57%,"163,735"
Kab. Jombang,Jawa Timur,1.75%,"555,441"
Kab. Kaimana,Papua Barat,1.01%,"8,082"
Kab. Kampar,Riau,1.20%,"57,895"
Kab. Kapuas,Kalimantan Tengah,1.84%,"37,430"
Kab. Kapuas Hulu,Kalimantan Barat,0.60%,"23,149"
Kab. Karanganyar,Jawa Tengah,0.56%,"161,502"
Kab. Karangasem,Bali,9.28%,"315,997"
Kab. Karawang,Jawa Barat,0.79%,"301,294"
Kab. Karimun,Kepulauan Riau,7.74%,"122,353"
Kab. Karo,Sumatera Utara,0.40%,"45,398"
Kab. Katingan,Kalimantan Tengah,1.01%,"20,614"
Kab. Kaur,Bengkulu,0.78%,"12,189"
Kab. Kayong Utara,Kalimantan Barat,0.32%,"12,571"
Kab. Kebumen,Jawa Tengah,0.62%,"178,993"
Kab. Kediri,Jawa Timur,1.21%,"384,308"
Kab. Keerom,Papua,0.33%,"8,437"
Kab. Kendal,Jawa Tengah,0.39%,"113,279"
Kab. Kep. Siau Tagulandang  Biaro,Sulawesi Utara,1.11%,"20,379"
Kab. Kepahiang,Bengkulu,1.00%,"15,465"
Kab. Kepulauan Anambas,Kepulauan Riau,1.40%,"22,116"
Kab. Kepulauan Aru,Maluku,0.67%,"8,043"
Kab. Kepulauan Mentawai,Sumatera Barat,0.19%,"8,267"
Kab. Kepulauan Meranti,Riau,0.56%,"27,285"
Kab. Kepulauan Sangihe,Sulawesi Utara,1.11%,"22,999"
Kab. Kepulauan Selayar,Sulawesi Selatan,0.31%,"21,565"
Kab. Kepulauan Sula,Maluku Utara,0.82%,"6,648"
Kab. Kepulauan Talaud,Sulawesi Utara,1.15%,"24,023"
Kab. Kepulauan Tanimbar,Maluku,0.73%,"8,725"
Kab. Kepulauan Yapen,Papua,0.30%,"7,803"
Kab. Kerinci,Jambi,1.32%,"35,434"
Kab. Ketapang,Kalimantan Barat,0.97%,"37,486"
Kab. Klaten,Jawa Tengah,0.45%,"130,189"
Kab. Klungkung,Bali,4.27%,"145,454"
Kab. Kolaka,Sulawesi Tenggara,1.82%,"36,537"
Kab. Kolaka Timur,Sulawesi Tenggara,0.75%,"14,953"
Kab. Kolaka Utara,Sulawesi Tenggara,0.84%,"16,838"
Kab. Konawe,Sulawesi Tenggara,1.63%,"27,796"
Kab. Konawe Kepulauan,Sulawesi Tenggara,0.18%,"3,105"
Kab. Konawe Selatan,Sulawesi Tenggara,1.81%,"36,330"
Kab. Konawe Utara,Sulawesi Tenggara,0.80%,"16,034"
Kab. Kotabaru,Kalimantan Selatan,0.69%,"21,727"
Kab. Kotawaringin Barat,Kalimantan Tengah,2.37%,"48,227"
Kab. Kotawaringin Timur,Kalimantan Tengah,2.44%,"49,687"
Kab. Kuantan Singingi,Riau,0.84%,"40,541"
Kab. Kubu Raya,Kalimantan Barat,1.62%,"62,833"
Kab. Kudus,Jawa Tengah,0.55%,"158,212"
Kab. Kulon Progo,Yogyakarta,2.82%,"81,341"
Kab. Kuningan,Jawa Barat,0.35%,"134,048"
Kab. Kupang,Nusa Tenggara Timur,1.83%,"70,269"
Kab. Kutai Barat,Kalimantan Timur,1.03%,"29,567"
Kab. Kutai Kartanegara,Kalimantan Timur,3.17%,"91,095"
Kab. Kutai Timur,Kalimantan Timur,1.50%,"43,134"
Kab. Labuhanbatu,Sumatera Utara,0.35%,"34,010"
Kab. Labuhanbatu Selatan,Sumatera Utara,0.15%,"14,402"
Kab. Labuhanbatu Utara,Sumatera Utara,0.25%,"24,151"
Kab. Lahat,Sumatera Selatan,0.75%,"47,440"
Kab. Lamandau,Kalimantan Tengah,0.84%,"17,084"
Kab. Lamongan,Jawa Timur,0.55%,"174,906"
Kab. Lampung Barat,Lampung,0.29%,"18,942"
Kab. Lampung Selatan,Lampung,1.09%,"72,245"
Kab. Lampung Tengah,Lampung,0.87%,"57,774"
Kab. Lampung Timur,Lampung,0.58%,"38,331"
Kab. Lampung Utara,Lampung,0.58%,"38,711"
Kab. Landak,Kalimantan Barat,0.74%,"28,489"
Kab. Langkat,Sumatera Utara,0.52%,"59,831"
Kab. Lanny Jaya,Papua,0.04%,978
Kab. Lebak,Banten,0.86%,"79,663"
Kab. Lebong,Bengkulu,0.58%,"9,020"
Kab. Lembata,Nusa Tenggara Timur,0.22%,"8,441"
Kab. Lima Puluh Kota,Sumatera Barat,0.78%,"34,289"
Kab. Lingga,Kepulauan Riau,2.18%,"34,476"
Kab. Lombok Barat,Nusa Tenggara Barat,1.40%,"54,819"
Kab. Lombok Tengah,Nusa Tenggara Barat,2.02%,"79,019"
Kab. Lombok Timur,Nusa Tenggara Barat,2.51%,"98,350"
Kab. Lombok Utara,Nusa Tenggara Barat,0.73%,"28,710"
Kab. Lumajang,Jawa Timur,0.26%,"83,759"
Kab. Luwu,Sulawesi Selatan,0.79%,"55,865"
Kab. Luwu Timur,Sulawesi Selatan,0.51%,"35,838"
Kab. Luwu Utara,Sulawesi Selatan,0.61%,"43,177"
Kab. Madiun,Jawa Timur,0.40%,"127,921"
Kab. Magelang,Jawa Tengah,0.38%,"108,826"
Kab. Magetan,Jawa Timur,0.28%,"87,975"
Kab. Mahakam Ulu,Kalimantan Timur,0.28%,"8,133"
Kab. Majalengka,Jawa Barat,0.29%,"109,209"
Kab. Majene,Sulawesi Barat,2.09%,"22,716"
Kab. Malaka,Nusa Tenggara Timur,0.30%,"11,658"
Kab. Malang,Jawa Timur,0.74%,"234,003"
Kab. Malinau,Kalimantan Utara,2.52%,"13,767"
Kab. Maluku Barat Daya,Maluku,0.38%,"5,438"
Kab. Maluku Tengah,Maluku,1.33%,"18,839"
Kab. Maluku Tenggara,Maluku,0.89%,"12,617"
Kab. Mamasa,Sulawesi Barat,2.33%,"25,383"
Kab. Mamberamo Raya,Papua,0.07%,"1,793"
Kab. Mamberamo Tengah,Papua,0.03%,705
Kab. Mamuju,Sulawesi Barat,3.14%,"34,242"
Kab. Mamuju Tengah,Sulawesi Barat,1.89%,"20,550"
Kab. Mandailing Natal,Sumatera Utara,0.23%,"26,228"
Kab. Manggarai,Nusa Tenggara Timur,0.73%,"28,081"
Kab. Manggarai Barat,Nusa Tenggara Timur,1.09%,"41,575"
Kab. Manggarai Timur,Nusa Tenggara Timur,0.43%,"14,064"
Kab. Manokwari,Papua Barat,6.05%,"48,260"
Kab. Manokwari Selatan,Papua Barat,0.73%,"5,818"
Kab. Mappi,Papua,0.33%,"8,604"
Kab. Maros,Sulawesi Selatan,0.83%,"58,852"
Kab. Maybrat,Papua Barat,0.22%,"1,446"
Kab. Melawi,Kalimantan Barat,0.46%,"17,651"
Kab. Mempawah,Kalimantan Barat,0.61%,"23,701"
Kab. Merangin,Jambi,1.31%,"35,210"
Kab. Merauke,Papua,1.91%,"49,298"
Kab. Mesuji,Lampung,0.14%,"9,047"
Kab. Mimika,Papua,2.33%,"60,111"
Kab. Minahasa,Sulawesi Utara,3.79%,"78,790"
Kab. Minahasa Selatan,Sulawesi Utara,2.77%,"57,559"
Kab. Minahasa Tenggara,Sulawesi Utara,1.28%,"26,531"
Kab. Minahasa Utara,Sulawesi Utara,1.80%,"37,458"
Kab. Mojokerto,Jawa Timur,0.33%,"105,978"
Kab. Morowali,Sulawesi Tengah,1.18%,"25,202"
Kab. Morowali Utara,Sulawesi Tengah,0.85%,"18,229"
Kab. Muara Enim,Sumatera Selatan,1.07%,"67,610"
Kab. Muaro Jambi,Jambi,2.33%,"62,549"
Kab. Muko Muko,Bengkulu,0.92%,"14,353"
Kab. Muna,Sulawesi Tenggara,1.29%,"25,861"
Kab. Muna Barat,Sulawesi Tenggara,0.63%,"10,686"
Kab. Murung Raya,Kalimantan Tengah,1.37%,"24,070"
Kab. Musi Banyuasin,Sumatera Selatan,0.94%,"59,412"
Kab. Musi Rawas,Sumatera Selatan,0.60%,"37,796"
Kab. Musi Rawas Utara,Sumatera Selatan,0.23%,"14,756"
Kab. Nabire,Papua,0.76%,"19,628"
Kab. Nagan Raya,Aceh,0.61%,"24,689"
Kab. Nagekeo,Nusa Tenggara Timur,0.40%,"12,835"
Kab. Natuna,Kepulauan Riau,2.74%,"43,317"
Kab. Nduga,Papua,0.02%,349
Kab. Ngada,Nusa Tenggara Timur,0.32%,"12,346"
Kab. Nganjuk,Jawa Timur,0.55%,"175,809"
Kab. Ngawi,Jawa Timur,0.45%,"142,757"
Kab. Nias,Sumatera Utara,0.06%,"6,771"
Kab. Nias Barat,Sumatera Utara,0.06%,"5,894"
Kab. Nias Selatan,Sumatera Utara,0.12%,"13,370"
Kab. Nias Utara,Sumatera Utara,0.06%,"6,935"
Kab. Nunukan,Kalimantan Utara,3.45%,"18,824"
Kab. Ogan Ilir,Sumatera Selatan,0.68%,"36,893"
Kab. Ogan Komering Ilir,Sumatera Selatan,0.85%,"53,698"
Kab. Ogan Komering Ulu,Sumatera Selatan,0.74%,"46,533"
Kab. Ogan Komering Ulu  Selatan,Sumatera Selatan,0.47%,"29,850"
Kab. Ogan Komering Ulu  Timur,Sumatera Selatan,0.75%,"47,411"
Kab. Pacitan,Jawa Timur,0.18%,"56,936"
Kab. Padang Lawas,Sumatera Utara,0.19%,"19,012"
Kab. Padang Lawas Utara,Sumatera Utara,0.31%,"35,016"
Kab. Padang Pariaman,Sumatera Barat,0.60%,"26,547"
Kab. Pahuwato,Gorontalo,1.77%,"16,597"
Kab. Pakpak Bharat,Sumatera Utara,0.17%,"19,302"
Kab. Pamekasan,Jawa Timur,0.18%,"58,843"
Kab. Pandeglang,Banten,0.94%,"86,848"
Kab. Pangandaran,Jawa Barat,0.19%,"70,331"
Kab. Pangkajene Kepulauan,Sulawesi Selatan,0.52%,"36,686"
Kab. Paniai,Papua,0.14%,"3,500"
Kab. Parigi Moutong,Sulawesi Tengah,0.99%,"21,118"
Kab. Pasaman,Sumatera Barat,0.53%,"23,205"
Kab. Pasaman Barat,Sumatera Barat,0.47%,"20,828"
Kab. Pasangkayu,Sulawesi Barat,1.76%,"19,194"
Kab. Paser,Kalimantan Timur,0.90%,"25,766"
Kab. Pasuruan,Jawa Timur,0.39%,"125,563"
Kab. Pati,Jawa Tengah,0.54%,"155,450"
Kab. Pegunungan Arfak,Papua Barat,0.01%,78
Kab. Pekalongan,Jawa Tengah,0.31%,"88,903"
Kab. Pelalawan,Riau,0.58%,"27,966"
Kab. Pemalang,Jawa Tengah,0.55%,"156,664"
Kab. Penajam Paser Utara,Kalimantan Timur,0.74%,"21,206"
Kab. Penukal Abab Lematang  Ilir,Sumatera Selatan,0.33%,"20,789"
Kab. Pesawaran,Lampung,0.33%,"21,613"
Kab. Pesisir Barat,Lampung,0.12%,"7,131"
Kab. Pesisir Selatan,Sumatera Barat,0.68%,"29,986"
Kab. Pidie,Aceh,0.90%,"36,444"
Kab. Pidie Jaya,Aceh,0.38%,"15,504"
Kab. Pinrang,Sulawesi Selatan,0.74%,"52,476"
Kab. Polewali Mandar,Sulawesi Barat,5.73%,"62,436"
Kab. Ponorogo,Jawa Timur,0.30%,"94,223"
Kab. Poso,Sulawesi Tengah,1.09%,"23,189"
Kab. Pringsewu,Lampung,0.28%,"18,632"
Kab. Probolinggo,Jawa Timur,0.67%,"211,994"
Kab. Pulang Pisau,Kalimantan Tengah,1.40%,"28,429"
Kab. Pulau Morotai,Maluku Utara,0.54%,"5,164"
Kab. Pulau Taliabu,Maluku Utara,0.33%,"3,192"
Kab. Puncak,Papua,0.06%,"1,391"
Kab. Puncak Jaya,Papua,0.12%,"2,505"
Kab. Purbalingga,Jawa Tengah,0.32%,"92,669"
Kab. Purwakarta,Jawa Barat,0.28%,"104,253"
Kab. Purworejo,Jawa Tengah,0.31%,"87,640"
Kab. Raja Ampat,Papua Barat,1.15%,"9,185"
Kab. Rejang Lebong,Bengkulu,1.70%,"26,353"
Kab. Rembang,Jawa Tengah,0.35%,"101,330"
Kab. Rokan Hilir,Riau,1.27%,"61,371"
Kab. Rokan Hulu,Riau,0.90%,"43,367"
Kab. Rote Ndao,Nusa Tenggara Timur,0.35%,"13,233"
Kab. Sabu Raijua,Nusa Tenggara Timur,0.20%,"7,841"
Kab. Sambas,Kalimantan Barat,0.96%,"37,339"
Kab. Samosir,Sumatera Utara,0.27%,"26,809"
Kab. Sampang,Jawa Timur,0.13%,"41,284"
Kab. Sanggau,Kalimantan Barat,0.85%,"32,786"
Kab. Sarmi,Papua,0.15%,"3,232"
Kab. Sarolangun,Jambi,1.31%,"35,298"
Kab. Sekadau,Kalimantan Barat,0.50%,"19,538"
Kab. Seluma,Bengkulu,1.24%,"19,210"
Kab. Semarang,Jawa Tengah,0.41%,"119,054"
Kab. Seram Bagian Barat,Maluku,1.04%,"14,696"
Kab. Seram Bagian Timur,Maluku,0.49%,"5,935"
Kab. Serang,Banten,0.70%,"64,570"
Kab. Serdang Bedagai,Sumatera Utara,0.93%,"91,869"
Kab. Seruyan,Kalimantan Tengah,1.21%,"24,549"
Kab. Siak,Riau,1.00%,"48,212"
Kab. Sidenreng Rappang,Sulawesi Selatan,0.46%,"32,229"
Kab. Sidoarjo,Jawa Timur,1.56%,"497,946"
Kab. Sigi,Sulawesi Tengah,0.72%,"15,355"
Kab. Sijunjung,Sumatera Barat,0.59%,"25,793"
Kab. Sikka,Nusa Tenggara Timur,0.63%,"23,997"
Kab. Simalungun,Sumatera Utara,0.63%,"72,216"
Kab. Simeulue,Aceh,0.18%,"7,371"
Kab. Sinjai,Sulawesi Selatan,0.52%,"36,353"
Kab. Sintang,Kalimantan Barat,1.20%,"46,331"
Kab. Situbondo,Jawa Timur,0.18%,"58,216"
Kab. Sleman,Yogyakarta,12.22%,"351,881"
Kab. Solok,Sumatera Barat,0.76%,"33,554"
Kab. Solok Selatan,Sumatera Barat,0.43%,"19,177"
Kab. Soppeng,Sulawesi Selatan,0.81%,"57,064"
Kab. Sorong,Papua Barat,1.85%,"14,777"
Kab. Sorong Selatan,Papua Barat,0.65%,"5,212"
Kab. Sragen,Jawa Tengah,0.33%,"96,163"
Kab. Subang,Jawa Barat,0.50%,"189,186"
Kab. Sukabumi,Jawa Barat,0.64%,"241,726"
Kab. Sukamara,Kalimantan Tengah,0.86%,"17,611"
Kab. Sukoharjo,Jawa Tengah,0.46%,"132,856"
Kab. Sumba Barat,Nusa Tenggara Timur,0.46%,"17,499"
Kab. Sumba Barat Daya,Nusa Tenggara Timur,0.47%,"17,831"
Kab. Sumba Tengah,Nusa Tenggara Timur,0.24%,"7,682"
Kab. Sumba Timur,Nusa Tenggara Timur,0.57%,"21,682"
Kab. Sumbawa,Nusa Tenggara Barat,1.12%,"43,657"
Kab. Sumbawa Barat,Nusa Tenggara Barat,0.54%,"21,040"
Kab. Sumedang,Jawa Barat,0.37%,"141,026"
Kab. Sumenep,Jawa Timur,0.24%,"76,807"
Kab. Supiori,Papua,0.07%,"1,429"
Kab. Tabalong,Kalimantan Selatan,0.98%,"30,857"
Kab. Tabanan,Bali,9.81%,"334,103"
Kab. Takalar,Sulawesi Selatan,0.60%,"42,553"
Kab. Tambrauw,Papua Barat,0.10%,684
Kab. Tana Tidung,Kalimantan Utara,0.90%,"4,889"
Kab. Tana Toraja,Sulawesi Selatan,0.67%,"47,487"
Kab. Tanah Bumbu,Kalimantan Selatan,0.86%,"27,051"
Kab. Tanah Datar,Sumatera Barat,0.82%,"36,141"
Kab. Tanah Laut,Kalimantan Selatan,0.73%,"23,015"
Kab. Tangerang,Banten,3.63%,"334,683"
Kab. Tanggamus,Lampung,0.49%,"32,709"
Kab. Tanjung Jabung Barat,Jambi,1.68%,"45,243"
Kab. Tanjung Jabung Timur,Jambi,1.33%,"35,721"
Kab. Tapanuli Selatan,Sumatera Utara,0.26%,"30,089"
Kab. Tapanuli Tengah,Sumatera Utara,0.22%,"25,628"
Kab. Tapanuli Utara,Sumatera Utara,0.41%,"46,348"
Kab. Tapin,Kalimantan Selatan,0.52%,"16,547"
Kab. Tasikmalaya,Jawa Barat,0.30%,"114,741"
Kab. Tebo,Jambi,2.01%,"54,013"
Kab. Tegal,Jawa Tengah,0.43%,"123,346"
Kab. Teluk Bintuni,Papua Barat,1.36%,"10,814"
Kab. Teluk Wondama,Papua Barat,0.80%,"6,347"
Kab. Temanggung,Jawa Tengah,0.31%,"89,060"
Kab. Timor Tengah Utara,Nusa Tenggara Timur,0.45%,"17,222"
Kab. Toba Samosir,Sumatera Utara,0.20%,"22,851"
Kab. Tojo Una Una,Sulawesi Tengah,0.47%,"10,040"
Kab. Toli Toli,Sulawesi Tengah,1.20%,"21,932"
Kab. Tolikara,Papua,0.07%,"1,589"
Kab. Toraja Utara,Sulawesi Selatan,0.37%,"26,353"
Kab. Trenggalek,Jawa Timur,0.24%,"75,294"
Kab. Tuban,Jawa Timur,0.44%,"140,886"
Kab. Tulang Bawang,Lampung,0.49%,"28,326"
Kab. Tulang Bawang Barat,Lampung,0.19%,"10,894"
Kab. Tulungagung,Jawa Timur,0.62%,"196,701"
Kab. Wajo,Sulawesi Selatan,0.86%,"60,434"
Kab. Wakatobi,Sulawesi Tenggara,0.47%,"9,330"
Kab. Waropen,Papua,0.05%,"1,176"
Kab. Way Kanan,Lampung,0.35%,"23,299"
Kab. Wonogiri,Jawa Tengah,0.33%,"95,678"
Kab. Wonosobo,Jawa Tengah,0.28%,"79,261"
Kab. Yahukimo,Papua,0.09%,"2,453"
Kab. Yalimo,Papua,0.04%,828
Kota Adm. Jakarta Barat,Jakarta Raya,15.71%,"1,318,568"
Kota Adm. Jakarta Pusat,Jakarta Raya,20.41%,"1,713,909"
Kota Adm. Jakarta Selatan,Jakarta Raya,22.61%,"1,898,452"
Kota Adm. Jakarta Timur,Jakarta Raya,18.08%,"1,517,668"
Kota Adm. Jakarta Utara,Jakarta Raya,14.75%,"1,238,350"
Kota Ambon,Maluku,8.37%,"118,637"
Kota Balikpapan,Kalimantan Timur,4.59%,"132,014"
Kota Banda Aceh,Aceh,2.36%,"95,212"
Kota Bandar Lampung,Lampung,3.18%,"211,494"
Kota Bandung,Jawa Barat,2.30%,"873,277"
Kota Banjar,Jawa Barat,0.14%,"54,424"
Kota Banjarbaru,Kalimantan Selatan,1.73%,"54,569"
Kota Banjarmasin,Kalimantan Selatan,4.41%,"139,329"
Kota Batam,Kepulauan Riau,37.91%,"599,373"
Kota Batu,Jawa Timur,0.13%,"39,978"
Kota Bau Bau,Sulawesi Tenggara,1.37%,"27,467"
Kota Bekasi,Jawa Barat,1.16%,"438,453"
Kota Bengkulu,Bengkulu,5.93%,"92,176"
Kota Bima,Nusa Tenggara Barat,0.77%,"30,037"
Kota Binjai,Sumatera Utara,0.35%,"39,942"
Kota Bitung,Sulawesi Utara,2.74%,"56,937"
Kota Blitar,Jawa Timur,0.21%,"65,780"
Kota Bogor,Jawa Barat,0.75%,"282,584"
Kota Bontang,Kalimantan Timur,1.35%,"38,846"
Kota Bukittinggi,Sumatera Barat,0.62%,"27,280"
Kota Cilegon,Banten,0.69%,"63,312"
Kota Cimahi,Jawa Barat,0.45%,"171,141"
Kota Cirebon,Jawa Barat,0.26%,"99,318"
Kota Denpasar,Bali,19.08%,"649,699"
Kota Depok,Jawa Barat,0.78%,"294,675"
Kota Dumai,Riau,2.15%,"104,092"
Kota Gorontalo,Gorontalo,6.14%,"57,590"
Kota Gunungsitoli,Sumatera Utara,0.14%,"16,556"
Kota Jambi,Jambi,7.64%,"205,123"
Kota Jayapura,Papua,3.74%,"96,573"
Kota Kediri,Jawa Timur,0.43%,"137,662"
Kota Kendari,Sulawesi Tenggara,4.48%,"89,646"
