Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab. Batu Bara,Sumatera Utara,0.56%,"64,145"
Kab. Bekasi,Jawa Barat,0.94%,"356,800"
Kab. Belitung,Bangka Belitung,2.70%,"30,684"
Kab. Belitung Timur,Bangka Belitung,1.42%,"16,154"
Kab. Belu,Nusa Tenggara Timur,0.75%,"28,555"
Kab. Bener Meriah,Aceh,0.70%,"28,401"
Kab. Bengkalis,Riau,1.18%,"57,136"
Kab. Bengkayang,Kalimantan Barat,0.56%,"21,632"
Kab. Bengkulu Selatan,Bengkulu,1.05%,"16,361"
Kab. Bengkulu Tengah,Bengkulu,1.31%,"20,299"
Kab. Bengkulu Utara,Bengkulu,1.48%,"22,998"
Kab. Berau,Kalimantan Timur,1.15%,"33,057"
Kab. Biak Numfor,Papua,1.02%,"26,422"
Kab. Bima,Nusa Tenggara Barat,0.75%,"29,306"
Kab. Bintan,Kepulauan Riau,5.25%,"82,993"
Kab. Bireuen,Aceh,1.15%,"46,359"
Kab. Blitar,Jawa Timur,0.96%,"304,423"
Kab. Blora,Jawa Tengah,0.40%,"113,522"
Kab. Boalemo,Gorontalo,3.22%,"30,173"
Kab. Bogor,Jawa Barat,1.47%,"556,186"
Kab. Bojonegoro,Jawa Timur,0.53%,"167,633"
Kab. Bolaang Mongondow,Sulawesi Utara,1.16%,"24,055"
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,0.41%,"8,571"
Kab. Bolaang Mongondow Timur,Sulawesi Utara,0.57%,"11,816"
Kab. Bolaang Mongondow Utara,Sulawesi Utara,0.92%,"19,201"
Kab. Bombana,Sulawesi Tenggara,1.27%,"25,467"
Kab. Bondowoso,Jawa Timur,0.26%,"81,708"
Kab. Bone,Sulawesi Selatan,1.24%,"87,322"
Kab. Bone Bolango,Gorontalo,3.18%,"29,804"
Kab. Boven Digoel,Papua,0.28%,"7,113"
Kab. Boyolali,Jawa Tengah,0.48%,"138,480"
Kab. Brebes,Jawa Tengah,0.57%,"164,673"
Kab. Buleleng,Bali,13.80%,"469,803"
Kab. Bulukumba,Sulawesi Selatan,0.70%,"49,651"
Kab. Bulungan,Kalimantan Utara,5.33%,"29,064"
Kab. Bungo,Jambi,1.59%,"42,810"
Kab. Buol,Sulawesi Tengah,1.08%,"22,974"
Kab. Buru,Maluku,0.52%,"7,385"
Kab. Buru Selatan,Maluku,0.30%,"4,291"
Kab. Buton,Sulawesi Tenggara,0.55%,"10,987"
Kab. Buton Selatan,Sulawesi Tenggara,0.35%,"7,023"
Kab. Buton Tengah,Sulawesi Tenggara,0.43%,"8,522"
Kab. Buton Utara,Sulawesi Tenggara,0.33%,"6,597"
Kab. Ciamis,Jawa Barat,0.28%,"108,036"
Kab. Cianjur,Jawa Barat,0.47%,"177,992"
Kab. Cilacap,Jawa Tengah,0.62%,"176,786"
Kab. Cirebon,Jawa Barat,0.53%,"200,247"
Kab. Dairi,Sumatera Utara,0.32%,"36,868"
Kab. Deiyai,Papua,0.03%,850
Kab. Deli Serdang,Sumatera Utara,1.60%,"182,563"
Kab. Demak,Jawa Tengah,0.69%,"196,879"
Kab. Dharmasraya,Sumatera Barat,1.02%,"44,903"
Kab. Dogiyai,Papua,0.05%,"1,349"
Kab. Dompu,Nusa Tenggara Barat,0.58%,"22,509"
Kab. Donggala,Sulawesi Tengah,0.60%,"12,749"
Kab. Empat Lawang,Sumatera Selatan,0.36%,"22,614"
Kab. Ende,Nusa Tenggara Timur,0.42%,"16,036"
Kab. Enrekang,Sulawesi Selatan,0.41%,"29,210"
Kab. Fak Fak,Papua Barat,1.42%,"11,303"
Kab. Flores Timur,Nusa Tenggara Timur,0.42%,"16,057"
Kab. Garut,Jawa Barat,0.55%,"208,926"
Kab. Gayo Lues,Aceh,0.39%,"15,819"
Kab. Gianyar,Bali,9.80%,"333,598"
Kab. Gorontalo,Gorontalo,5.46%,"51,216"
Kab. Gorontalo Utara,Gorontalo,2.33%,"21,844"
Kab. Gowa,Sulawesi Selatan,0.91%,"64,525"
Kab. Gresik,Jawa Timur,0.84%,"267,645"
Kab. Grobogan,Jawa Tengah,0.56%,"159,756"
Kab. Gunung Mas,Kalimantan Tengah,0.95%,"19,341"
Kab. Gunungkidul,Yogyakarta,6.81%,"196,183"
Kab. Halmahera Barat,Maluku Utara,0.91%,"8,697"
Kab. Halmahera Selatan,Maluku Utara,2.56%,"24,438"
Kab. Halmahera Tengah,Maluku Utara,1.40%,"13,326"
Kab. Halmahera Timur,Maluku Utara,0.79%,"7,570"
Kab. Halmahera Utara,Maluku Utara,1.07%,"10,179"
Kab. Hulu Sungai Selatan,Kalimantan Selatan,0.94%,"29,795"
Kab. Hulu Sungai Tengah,Kalimantan Selatan,0.69%,"21,753"
Kab. Hulu Sungai Utara,Kalimantan Selatan,0.72%,"22,745"
Kab. Humbang Hasundutan,Sumatera Utara,0.42%,"47,963"
Kab. Indragiri Hilir,Riau,1.18%,"56,895"
Kab. Indragiri Hulu,Riau,0.98%,"47,657"
Kab. Indramayu,Jawa Barat,0.47%,"179,350"
Kab. Intan Jaya,Papua,0.07%,"1,717"
Kab. Jayapura,Papua,1.25%,"32,400"
Kab. Jayawijaya,Papua,0.56%,"14,477"
Kab. Jember,Jawa Timur,0.68%,"215,166"
Kab. Jembrana,Bali,5.97%,"203,268"
Kab. Jeneponto,Sulawesi Selatan,0.40%,"27,935"
Kab. Jepara,Jawa Tengah,0.57%,"164,928"
Kab. Jombang,Jawa Timur,1.75%,"556,567"
Kab. Kaimana,Papua Barat,1.06%,"8,491"
Kab. Kampar,Riau,1.21%,"58,588"
Kab. Kapuas,Kalimantan Tengah,1.85%,"37,596"
Kab. Kapuas Hulu,Kalimantan Barat,0.60%,"23,233"
Kab. Karanganyar,Jawa Tengah,0.58%,"168,030"
Kab. Karangasem,Bali,9.30%,"316,589"
Kab. Karawang,Jawa Barat,0.83%,"314,842"
Kab. Karimun,Kepulauan Riau,7.77%,"122,866"
Kab. Karo,Sumatera Utara,0.42%,"48,369"
Kab. Katingan,Kalimantan Tengah,1.02%,"20,709"
Kab. Kaur,Bengkulu,0.79%,"12,275"
Kab. Kayong Utara,Kalimantan Barat,0.33%,"12,619"
Kab. Kebumen,Jawa Tengah,0.63%,"180,398"
Kab. Kediri,Jawa Timur,1.22%,"387,595"
Kab. Keerom,Papua,0.33%,"8,589"
Kab. Kendal,Jawa Tengah,0.40%,"115,244"
Kab. Kep. Siau Tagulandang  Biaro,Sulawesi Utara,0.98%,"20,394"
Kab. Kepahiang,Bengkulu,1.01%,"15,616"
Kab. Kepulauan Anambas,Kepulauan Riau,1.42%,"22,494"
Kab. Kepulauan Aru,Maluku,0.60%,"8,522"
Kab. Kepulauan Mentawai,Sumatera Barat,0.20%,"8,637"
Kab. Kepulauan Meranti,Riau,0.56%,"27,295"
Kab. Kepulauan Sangihe,Sulawesi Utara,1.11%,"23,169"
Kab. Kepulauan Selayar,Sulawesi Selatan,0.31%,"21,676"
Kab. Kepulauan Sula,Maluku Utara,0.71%,"6,800"
Kab. Kepulauan Talaud,Sulawesi Utara,1.18%,"24,543"
Kab. Kepulauan Tanimbar,Maluku,0.62%,"8,831"
Kab. Kepulauan Yapen,Papua,0.31%,"7,910"
Kab. Kerinci,Jambi,1.34%,"35,885"
Kab. Ketapang,Kalimantan Barat,0.98%,"38,059"
Kab. Klaten,Jawa Tengah,0.46%,"133,141"
Kab. Klungkung,Bali,4.29%,"145,985"
Kab. Kolaka,Sulawesi Tenggara,1.84%,"36,905"
Kab. Kolaka Timur,Sulawesi Tenggara,0.75%,"14,966"
Kab. Kolaka Utara,Sulawesi Tenggara,0.84%,"16,840"
Kab. Konawe,Sulawesi Tenggara,1.39%,"27,880"
Kab. Konawe Kepulauan,Sulawesi Tenggara,0.16%,"3,146"
Kab. Konawe Selatan,Sulawesi Tenggara,1.84%,"36,871"
Kab. Konawe Utara,Sulawesi Tenggara,0.80%,"16,040"
Kab. Kotabaru,Kalimantan Selatan,0.71%,"22,361"
Kab. Kotawaringin Barat,Kalimantan Tengah,2.39%,"48,573"
Kab. Kotawaringin Timur,Kalimantan Tengah,2.48%,"50,411"
Kab. Kuantan Singingi,Riau,0.84%,"40,679"
Kab. Kubu Raya,Kalimantan Barat,1.63%,"62,964"
Kab. Kudus,Jawa Tengah,0.56%,"161,376"
Kab. Kulon Progo,Yogyakarta,2.99%,"86,038"
Kab. Kuningan,Jawa Barat,0.36%,"138,259"
Kab. Kupang,Nusa Tenggara Timur,1.86%,"71,083"
Kab. Kutai Barat,Kalimantan Timur,1.08%,"30,991"
Kab. Kutai Kartanegara,Kalimantan Timur,3.18%,"91,385"
Kab. Kutai Timur,Kalimantan Timur,1.60%,"45,884"
Kab. Labuhanbatu,Sumatera Utara,0.31%,"35,578"
Kab. Labuhanbatu Selatan,Sumatera Utara,0.13%,"15,035"
Kab. Labuhanbatu Utara,Sumatera Utara,0.21%,"24,379"
Kab. Lahat,Sumatera Selatan,0.76%,"47,693"
Kab. Lamandau,Kalimantan Tengah,0.84%,"17,204"
Kab. Lamongan,Jawa Timur,0.55%,"175,823"
Kab. Lampung Barat,Lampung,0.29%,"19,512"
Kab. Lampung Selatan,Lampung,1.10%,"72,785"
Kab. Lampung Tengah,Lampung,0.88%,"58,532"
Kab. Lampung Timur,Lampung,0.58%,"38,806"
Kab. Lampung Utara,Lampung,0.60%,"39,809"
Kab. Landak,Kalimantan Barat,0.75%,"28,879"
Kab. Langkat,Sumatera Utara,0.53%,"60,194"
Kab. Lanny Jaya,Papua,0.04%,979
Kab. Lebak,Banten,0.92%,"84,504"
Kab. Lebong,Bengkulu,0.58%,"9,055"
Kab. Lembata,Nusa Tenggara Timur,0.22%,"8,448"
Kab. Lima Puluh Kota,Sumatera Barat,0.79%,"34,619"
Kab. Lingga,Kepulauan Riau,2.23%,"35,278"
Kab. Lombok Barat,Nusa Tenggara Barat,1.41%,"54,995"
Kab. Lombok Tengah,Nusa Tenggara Barat,2.04%,"79,618"
Kab. Lombok Timur,Nusa Tenggara Barat,2.56%,"100,167"
Kab. Lombok Utara,Nusa Tenggara Barat,0.74%,"28,894"
Kab. Lumajang,Jawa Timur,0.27%,"87,242"
Kab. Luwu,Sulawesi Selatan,0.79%,"55,909"
Kab. Luwu Timur,Sulawesi Selatan,0.51%,"36,118"
Kab. Luwu Utara,Sulawesi Selatan,0.62%,"43,811"
Kab. Madiun,Jawa Timur,0.41%,"129,078"
Kab. Magelang,Jawa Tengah,0.38%,"110,028"
Kab. Magetan,Jawa Timur,0.28%,"89,294"
Kab. Mahakam Ulu,Kalimantan Timur,0.29%,"8,218"
Kab. Majalengka,Jawa Barat,0.31%,"118,129"
Kab. Majene,Sulawesi Barat,2.11%,"22,988"
Kab. Malaka,Nusa Tenggara Timur,0.30%,"11,672"
Kab. Malang,Jawa Timur,0.75%,"237,485"
Kab. Malinau,Kalimantan Utara,2.53%,"13,825"
Kab. Maluku Barat Daya,Maluku,0.39%,"5,562"
Kab. Maluku Tengah,Maluku,1.37%,"19,419"
Kab. Maluku Tenggara,Maluku,0.91%,"12,906"
Kab. Mamasa,Sulawesi Barat,2.34%,"25,439"
Kab. Mamberamo Raya,Papua,0.07%,"1,793"
Kab. Mamberamo Tengah,Papua,0.03%,714
Kab. Mamuju,Sulawesi Barat,3.20%,"34,847"
Kab. Mamuju Tengah,Sulawesi Barat,1.89%,"20,557"
Kab. Mandailing Natal,Sumatera Utara,0.23%,"26,812"
Kab. Manggarai,Nusa Tenggara Timur,0.73%,"28,160"
Kab. Manggarai Barat,Nusa Tenggara Timur,1.10%,"42,306"
Kab. Manggarai Timur,Nusa Tenggara Timur,0.37%,"14,146"
Kab. Manokwari,Papua Barat,6.18%,"49,314"
Kab. Manokwari Selatan,Papua Barat,0.74%,"5,888"
Kab. Mappi,Papua,0.35%,"8,960"
Kab. Maros,Sulawesi Selatan,0.84%,"59,481"
Kab. Maybrat,Papua Barat,0.18%,"1,463"
Kab. Melawi,Kalimantan Barat,0.46%,"17,667"
Kab. Mempawah,Kalimantan Barat,0.62%,"24,068"
Kab. Merangin,Jambi,1.41%,"37,760"
Kab. Merauke,Papua,1.93%,"49,908"
Kab. Mesuji,Lampung,0.15%,"9,900"
Kab. Mimika,Papua,2.36%,"61,012"
Kab. Minahasa,Sulawesi Utara,3.79%,"78,912"
Kab. Minahasa Selatan,Sulawesi Utara,2.78%,"57,918"
Kab. Minahasa Tenggara,Sulawesi Utara,1.28%,"26,585"
Kab. Minahasa Utara,Sulawesi Utara,1.80%,"37,529"
Kab. Mojokerto,Jawa Timur,0.34%,"107,142"
Kab. Morowali,Sulawesi Tengah,1.42%,"30,386"
Kab. Morowali Utara,Sulawesi Tengah,0.85%,"18,241"
Kab. Muara Enim,Sumatera Selatan,1.08%,"67,964"
Kab. Muaro Jambi,Jambi,2.40%,"64,462"
Kab. Muko Muko,Bengkulu,0.93%,"14,475"
Kab. Muna,Sulawesi Tenggara,1.31%,"26,201"
Kab. Muna Barat,Sulawesi Tenggara,0.54%,"10,766"
Kab. Murung Raya,Kalimantan Tengah,1.20%,"24,367"
Kab. Musi Banyuasin,Sumatera Selatan,0.94%,"59,510"
Kab. Musi Rawas,Sumatera Selatan,0.61%,"38,436"
Kab. Musi Rawas Utara,Sumatera Selatan,0.24%,"15,119"
Kab. Nabire,Papua,0.77%,"19,849"
Kab. Nagan Raya,Aceh,0.63%,"25,230"
Kab. Nagekeo,Nusa Tenggara Timur,0.34%,"12,985"
Kab. Natuna,Kepulauan Riau,2.80%,"44,225"
Kab. Nduga,Papua,0.01%,349
Kab. Ngada,Nusa Tenggara Timur,0.32%,"12,448"
Kab. Nganjuk,Jawa Timur,0.56%,"178,325"
Kab. Ngawi,Jawa Timur,0.46%,"146,988"
Kab. Nias,Sumatera Utara,0.06%,"6,881"
Kab. Nias Barat,Sumatera Utara,0.05%,"5,936"
Kab. Nias Selatan,Sumatera Utara,0.12%,"13,403"
Kab. Nias Utara,Sumatera Utara,0.06%,"7,121"
Kab. Nunukan,Kalimantan Utara,3.47%,"18,911"
Kab. Ogan Ilir,Sumatera Selatan,0.59%,"37,127"
Kab. Ogan Komering Ilir,Sumatera Selatan,0.86%,"54,481"
Kab. Ogan Komering Ulu,Sumatera Selatan,0.74%,"46,576"
Kab. Ogan Komering Ulu  Selatan,Sumatera Selatan,0.48%,"30,109"
Kab. Ogan Komering Ulu  Timur,Sumatera Selatan,0.76%,"47,947"
Kab. Pacitan,Jawa Timur,0.18%,"57,098"
Kab. Padang Lawas,Sumatera Utara,0.17%,"19,630"
Kab. Padang Lawas Utara,Sumatera Utara,0.31%,"35,235"
Kab. Padang Pariaman,Sumatera Barat,0.61%,"27,084"
Kab. Pahuwato,Gorontalo,1.82%,"17,089"
Kab. Pakpak Bharat,Sumatera Utara,0.17%,"19,377"
Kab. Pamekasan,Jawa Timur,0.19%,"60,078"
Kab. Pandeglang,Banten,1.00%,"91,961"
Kab. Pangandaran,Jawa Barat,0.19%,"72,623"
Kab. Pangkajene Kepulauan,Sulawesi Selatan,0.53%,"37,226"
Kab. Paniai,Papua,0.14%,"3,531"
Kab. Parigi Moutong,Sulawesi Tengah,1.00%,"21,276"
Kab. Pasaman,Sumatera Barat,0.53%,"23,224"
Kab. Pasaman Barat,Sumatera Barat,0.48%,"20,970"
Kab. Pasangkayu,Sulawesi Barat,1.77%,"19,326"
Kab. Paser,Kalimantan Timur,0.93%,"26,725"
Kab. Pasuruan,Jawa Timur,0.40%,"127,959"
Kab. Pati,Jawa Tengah,0.55%,"158,138"
Kab. Pegunungan Arfak,Papua Barat,0.01%,78
Kab. Pekalongan,Jawa Tengah,0.32%,"93,070"
Kab. Pelalawan,Riau,0.59%,"28,403"
Kab. Pemalang,Jawa Tengah,0.57%,"162,668"
Kab. Penajam Paser Utara,Kalimantan Timur,0.77%,"22,180"
Kab. Penukal Abab Lematang  Ilir,Sumatera Selatan,0.33%,"20,946"
Kab. Pesawaran,Lampung,0.33%,"21,707"
Kab. Pesisir Barat,Lampung,0.11%,"7,515"
Kab. Pesisir Selatan,Sumatera Barat,0.68%,"30,005"
Kab. Pidie,Aceh,0.91%,"36,751"
Kab. Pidie Jaya,Aceh,0.40%,"16,120"
Kab. Pinrang,Sulawesi Selatan,0.76%,"53,655"
Kab. Polewali Mandar,Sulawesi Barat,5.77%,"62,835"
Kab. Ponorogo,Jawa Timur,0.30%,"95,141"
Kab. Poso,Sulawesi Tengah,1.09%,"23,351"
Kab. Pringsewu,Lampung,0.28%,"18,643"
Kab. Probolinggo,Jawa Timur,0.68%,"216,249"
Kab. Pulang Pisau,Kalimantan Tengah,1.41%,"28,653"
Kab. Pulau Morotai,Maluku Utara,0.58%,"5,576"
Kab. Pulau Taliabu,Maluku Utara,0.36%,"3,422"
Kab. Puncak,Papua,0.05%,"1,394"
Kab. Puncak Jaya,Papua,0.10%,"2,564"
Kab. Purbalingga,Jawa Tengah,0.33%,"95,131"
Kab. Purwakarta,Jawa Barat,0.28%,"106,734"
Kab. Purworejo,Jawa Tengah,0.31%,"88,819"
Kab. Raja Ampat,Papua Barat,1.19%,"9,476"
Kab. Rejang Lebong,Bengkulu,1.70%,"26,464"
Kab. Rembang,Jawa Tengah,0.36%,"104,448"
Kab. Rokan Hilir,Riau,1.27%,"61,673"
Kab. Rokan Hulu,Riau,0.90%,"43,525"
Kab. Rote Ndao,Nusa Tenggara Timur,0.35%,"13,528"
Kab. Sabu Raijua,Nusa Tenggara Timur,0.20%,"7,841"
Kab. Sambas,Kalimantan Barat,0.97%,"37,541"
Kab. Samosir,Sumatera Utara,0.24%,"27,314"
Kab. Sampang,Jawa Timur,0.14%,"44,681"
Kab. Sanggau,Kalimantan Barat,0.85%,"32,795"
Kab. Sarmi,Papua,0.13%,"3,257"
Kab. Sarolangun,Jambi,1.36%,"36,571"
Kab. Sekadau,Kalimantan Barat,0.51%,"19,591"
Kab. Seluma,Bengkulu,1.24%,"19,304"
Kab. Semarang,Jawa Tengah,0.42%,"120,672"
Kab. Seram Bagian Barat,Maluku,1.05%,"14,936"
Kab. Seram Bagian Timur,Maluku,0.42%,"6,016"
Kab. Serang,Banten,0.73%,"66,939"
Kab. Serdang Bedagai,Sumatera Utara,0.81%,"92,126"
Kab. Seruyan,Kalimantan Tengah,1.22%,"24,795"
Kab. Siak,Riau,1.00%,"48,263"
Kab. Sidenreng Rappang,Sulawesi Selatan,0.46%,"32,405"
Kab. Sidoarjo,Jawa Timur,1.58%,"503,120"
Kab. Sigi,Sulawesi Tengah,0.74%,"15,742"
Kab. Sijunjung,Sumatera Barat,0.59%,"25,912"
Kab. Sikka,Nusa Tenggara Timur,0.66%,"25,160"
Kab. Simalungun,Sumatera Utara,0.63%,"72,382"
Kab. Simeulue,Aceh,0.19%,"7,585"
Kab. Sinjai,Sulawesi Selatan,0.52%,"36,451"
Kab. Sintang,Kalimantan Barat,1.20%,"46,617"
Kab. Situbondo,Jawa Timur,0.19%,"59,876"
Kab. Sleman,Yogyakarta,12.37%,"356,259"
Kab. Solok,Sumatera Barat,0.77%,"33,786"
Kab. Solok Selatan,Sumatera Barat,0.46%,"20,445"
Kab. Soppeng,Sulawesi Selatan,0.81%,"57,385"
Kab. Sorong,Papua Barat,1.90%,"15,188"
Kab. Sorong Selatan,Papua Barat,0.66%,"5,289"
Kab. Sragen,Jawa Tengah,0.35%,"99,669"
Kab. Subang,Jawa Barat,0.52%,"196,620"
Kab. Sukabumi,Jawa Barat,0.65%,"244,881"
Kab. Sukamara,Kalimantan Tengah,0.87%,"17,746"
Kab. Sukoharjo,Jawa Tengah,0.48%,"139,022"
Kab. Sumba Barat,Nusa Tenggara Timur,0.47%,"18,088"
Kab. Sumba Barat Daya,Nusa Tenggara Timur,0.47%,"18,075"
Kab. Sumba Tengah,Nusa Tenggara Timur,0.21%,"8,029"
Kab. Sumba Timur,Nusa Tenggara Timur,0.58%,"22,404"
Kab. Sumbawa,Nusa Tenggara Barat,1.12%,"43,794"
Kab. Sumbawa Barat,Nusa Tenggara Barat,0.54%,"21,043"
Kab. Sumedang,Jawa Barat,0.40%,"150,306"
Kab. Sumenep,Jawa Timur,0.25%,"78,236"
Kab. Supiori,Papua,0.06%,"1,432"
Kab. Tabalong,Kalimantan Selatan,1.02%,"32,109"
Kab. Tabanan,Bali,9.82%,"334,396"
Kab. Takalar,Sulawesi Selatan,0.61%,"42,904"
Kab. Tambrauw,Papua Barat,0.09%,689
Kab. Tana Tidung,Kalimantan Utara,0.91%,"4,991"
Kab. Tana Toraja,Sulawesi Selatan,0.67%,"47,632"
Kab. Tanah Bumbu,Kalimantan Selatan,0.87%,"27,495"
Kab. Tanah Datar,Sumatera Barat,0.82%,"36,286"
Kab. Tanah Laut,Kalimantan Selatan,0.73%,"23,204"
Kab. Tangerang,Banten,3.94%,"363,717"
Kab. Tanggamus,Lampung,0.51%,"33,668"
Kab. Tanjung Jabung Barat,Jambi,1.70%,"45,597"
Kab. Tanjung Jabung Timur,Jambi,1.34%,"36,099"
Kab. Tapanuli Selatan,Sumatera Utara,0.27%,"30,384"
Kab. Tapanuli Tengah,Sumatera Utara,0.23%,"26,476"
Kab. Tapanuli Utara,Sumatera Utara,0.41%,"46,901"
Kab. Tapin,Kalimantan Selatan,0.52%,"16,564"
Kab. Tasikmalaya,Jawa Barat,0.31%,"117,197"
Kab. Tebo,Jambi,2.10%,"56,346"
Kab. Tegal,Jawa Tengah,0.44%,"126,800"
Kab. Teluk Bintuni,Papua Barat,1.40%,"11,124"
Kab. Teluk Wondama,Papua Barat,0.81%,"6,455"
Kab. Temanggung,Jawa Tengah,0.32%,"92,346"
Kab. Timor Tengah Utara,Nusa Tenggara Timur,0.45%,"17,380"
Kab. Toba Samosir,Sumatera Utara,0.20%,"22,879"
Kab. Tojo Una Una,Sulawesi Tengah,0.48%,"10,151"
Kab. Toli Toli,Sulawesi Tengah,1.03%,"21,941"
Kab. Tolikara,Papua,0.06%,"1,596"
Kab. Toraja Utara,Sulawesi Selatan,0.38%,"26,695"
Kab. Trenggalek,Jawa Timur,0.24%,"77,239"
Kab. Tuban,Jawa Timur,0.45%,"142,317"
Kab. Tulang Bawang,Lampung,0.43%,"28,600"
Kab. Tulang Bawang Barat,Lampung,0.17%,"11,122"
Kab. Tulungagung,Jawa Timur,0.62%,"197,600"
Kab. Wajo,Sulawesi Selatan,0.86%,"60,583"
Kab. Wakatobi,Sulawesi Tenggara,0.47%,"9,383"
Kab. Waropen,Papua,0.05%,"1,176"
Kab. Way Kanan,Lampung,0.35%,"23,479"
Kab. Wonogiri,Jawa Tengah,0.34%,"97,623"
Kab. Wonosobo,Jawa Tengah,0.28%,"81,526"
Kab. Yahukimo,Papua,0.10%,"2,589"
Kab. Yalimo,Papua,0.04%,833
Kota Adm. Jakarta Barat,Jakarta Raya,16.68%,"1,400,025"
Kota Adm. Jakarta Pusat,Jakarta Raya,20.85%,"1,750,753"
Kota Adm. Jakarta Selatan,Jakarta Raya,24.27%,"2,037,195"
Kota Adm. Jakarta Timur,Jakarta Raya,19.21%,"1,612,475"
Kota Adm. Jakarta Utara,Jakarta Raya,15.26%,"1,281,364"
Kota Ambon,Maluku,8.65%,"122,640"
Kota Balikpapan,Kalimantan Timur,4.77%,"137,042"
Kota Banda Aceh,Aceh,2.41%,"97,278"
Kota Bandar Lampung,Lampung,3.22%,"213,841"
Kota Bandung,Jawa Barat,2.39%,"904,703"
Kota Banjar,Jawa Barat,0.15%,"58,002"
Kota Banjarbaru,Kalimantan Selatan,1.74%,"55,028"
Kota Banjarmasin,Kalimantan Selatan,4.44%,"140,476"
Kota Batam,Kepulauan Riau,38.43%,"607,568"
Kota Batu,Jawa Timur,0.13%,"40,433"
Kota Bau Bau,Sulawesi Tenggara,1.40%,"28,098"
Kota Bekasi,Jawa Barat,1.21%,"456,906"
Kota Bengkulu,Bengkulu,6.05%,"94,075"
Kota Bima,Nusa Tenggara Barat,0.79%,"30,915"
Kota Binjai,Sumatera Utara,0.36%,"41,392"
Kota Bitung,Sulawesi Utara,2.77%,"57,580"
Kota Blitar,Jawa Timur,0.21%,"66,694"
Kota Bogor,Jawa Barat,0.81%,"308,770"
Kota Bontang,Kalimantan Timur,1.36%,"39,013"
Kota Bukittinggi,Sumatera Barat,0.62%,"27,316"
Kota Cilegon,Banten,0.74%,"67,934"
Kota Cimahi,Jawa Barat,0.49%,"184,237"
Kota Cirebon,Jawa Barat,0.27%,"102,928"
Kota Denpasar,Bali,19.24%,"655,154"
Kota Depok,Jawa Barat,0.80%,"303,596"
Kota Dumai,Riau,2.18%,"105,297"
Kota Gorontalo,Gorontalo,6.20%,"58,180"
Kota Gunungsitoli,Sumatera Utara,0.15%,"16,574"
Kota Jambi,Jambi,7.80%,"209,459"
Kota Jayapura,Papua,3.78%,"97,789"
Kota Kediri,Jawa Timur,0.44%,"138,953"
Kota Kendari,Sulawesi Tenggara,4.52%,"90,423"
